,Review,Rank
0,드림웍스 좋아하는 분들은 이 영화도 좋아하실 것 같아요!제 최애는 샤크입니다!!! ,10
1,캐릭터 주토피아 재질인거에 취저당해서 개봉날 바로 보러 다녀옴! 역시 드림웍스 ㅠㅠ 너무 재밌게 잘뽑았다 ,10
2,"딸아이가 보자고 해서 보고 봤는데, 웃음 포인트가 너무 많네요. 한참 웃다가 왔습니다. ^^ ",8
3,가족들하고 같이 보기 좋은 영화 입니다 ,8
4,역시 드림웍스 유쾌하고 재밌습니다 ,10
5,예고만 봤을땐 뻔해보였는데 역시 믿고보는 드림웍스 영상미와 역동성이 아주 좋다 ,10
6,단순하지만 재미있다. 아이들과 같이보면 아이들이 좋아할 것같다. ,9
7,어린이날 애들이랑 재밌게 보고왔어요ㅎㅎㅎ 예고편보고 기대했는데 역시 재밌네요짱짱 ,10
8,나쁜 아이는 없다라는 걸 보여주는 영화였어요 ,9
9,살다살다 늑대한테도 설레이네...울프 매력 미쳤다!!!!생각없이 보러갔다가 엄청 재밌게 보고 나옴 ㅋㅋㅋ ,10
10,"최애캐릭터 스네이크,첫인상의 고정관념으로 사람을 판단하지 말자는 교훈을 남긴 에니메이션.주토피아에 분노의 질주의 매력을 더했다. ",10
11,이렇게 액션 터지는 애니메이션은 처음....진짜 재밌었다... ,10
12,왜 다들 늑대늑대 했는지 알겠다ㅠ ,10
13,"2D인데 3D처럼 입체적이고, 카체이싱 씬이 좋았어요 ",7
14,주토피아 이후로 이렇게 재밌는 애니는 처음! 캐릭터들 매력 터진다 ,10
15,재밌고 우리 울프 최고니까 보세요 두 번 보세요 ,10
16,재미있어요 잘봤어요^^ ,8
17,늑대가 너무 멋있어요. ,6
18,유치할 법한 주제를 흐뭇한 방식으로 표현했다. ,9
19,일단 그림체가 너무 맘에 들고 믿고 보는 드림웍스 ,8
20,어른 아이 할 것 없이 재미있게 즐길 수 있었던 애니메이션! ,10
21,진짜 카체이싱 끝내준닼ㅋㅋㅋㅋ 애니라서 별 기대 안했는데 주토피아 느낌도 있고 재밌게 본듯! 강추입니다!ㅎㅎㅎ ,10
22,배드가이즈 너무웃김 대박. 이런영화는 없었다 ,10
23,사촌동생 데리고 가서 봤는데 너무 좋아했어요! 울프 매력 미침 ,10
24,아이들 영화지만 어른이 봐도 너무너무 좋았던 영화였어요!!유치하지않고 적당했던 영화 ^0^ ,10
25,가볍게 보기 좋은 영화! 보는 내내 긍정적인 감정으로만 볼 수 있어서 편안하고 좋았음! 캐릭터들이 넘 매력적 ,9
26,캐릭터가 진짜 잘생겼다. 시리즈 물로 나오기 좋음 ,7
27,시원하고 깔끔했던 애니메이션 ,6
28,뭔가 묻힌거같아서 안타까움 ㅠㅠ 잘뽑아냈는데... 모처럼 기분좋게 깔깔대다옴 ,10
29,캐릭터들이 매력적이라 볼만하고 나쁜 녀석들이 아동용으로 순화되었다 ,8
30,일단 동물 캐릭이 나오면 재밌다 ,7
31,흔한 주제지만 캐릭터들을 잘 매력있게 뽑았고 애니메이션치고 액션 묘사도 꽤 맛깔스럽다 ,8
32,웃음과 재미를 다 잡았다 ,10
33,정말 재밌게 봤다 ,10
34,재미있었어요. 가볍게 보기 좋았습니다. 귀여워요. ,8
35,오타쿠 저격 고자극 가족 영화 ,10
36,이렇게 재밌는 영화 정말 오랜만이다 아이들 웃음소리가 너무 듣기 좋았음 ,10
37,드림웍스가 확실히 이런 애니메이션을 매력있게 잘 만드는 것 닽다 ,7
38,익숙한 이야기지만.. 괜찮은 액션과 캐랙터.. Diane Foxington은 드림웍스 최고의 매력 여캐.. ,7
39,나쁜 놈 더 나쁜놈 아주 나쁜 놈나쁜 놈들이 만들어가는 우정이야기 ,10
40,볼까 말까 하다 봤는데 안봤으면 큰일날뻔 ,9
41,재밌는 드림웍스 애니메이션 ,10
42,부담없이 볼만한 영화예요. ,7
43,액션 시원시원하고 유쾌한 영화 재밌어요 ,10
44,기대안하고 갔는데 너무 좋았음.. ,10
45,주토피아 만큼 재밌는 애니메이션!!! 사람들이 선호하지 않는 동물들을 캐릭터로 표현해서 새로운 접근이 좋았다. ,8
46,드림웍스으 ㅣ신작 애니메이션 배드 가이즈!! ,6
47,분노의 질주가 생각나는 영화 ,6
48,최고... 늑대는 최고야 ,10
49,가족과 편안하게 볼수있는 애니 ,8
50,"빠른 전개와 기분좋은 음악들, 다양한 캐릭터까지!아이들 보여주러 갔다가 제가 더 재밌게 보았습니다.초반 애니메이션의 장점을 충분히 살린 차량 추격신은 ‘베이비 드라이버’와 비슷한 분위기로 아주 훌륭했어요. ",10
51,개과천선 ,8
52,나름 재밌는 하이스트물 카체이싱 장면 좋다 ,6
53,드림웍스가 이런 영화를 만들다니... 카 체이싱 액션 쾌감 쩔어 ,10
54,그냥 어린이용 애니라고 생각했는데 탄탄한 스토리와 감동코드가 곳곳에 녹아있네요. 통념으로서의 선과악이라는 것에 대해 생각해 볼 수 있는 시간이었습니다.(저의 최애는 스네이크^^ ) ,10
55,라떼는 ~ 노노 !! 핵사이다♡ ,10
56,오프닝이 정말 예술! ,10
57,기대 하나도 안하고 봤는데 완전 재밌게 봤어요 반전에 반전이 있는 내용이에요 마지막 결말이 뭉클 하네요 ,10
58,근래 가장 재미있게 본 애니메이션아이도 어른 모두 괜찮아요 ,9
59,애니를 가장한 케이퍼라 재미있음 ,9
60,,10
61,친구랑 같이 관람했는데 너무 좋아요 ,9
62,배드 가이즈 재미있어요 ,10
63,늑대 여우 이런 캐릭터는 언제나 옳다 ,10
64,그냥그저 ,6
65,재밌어요 짱 재밌어요 재밌어요 짱 재밌어요 ,10
66,상당히 재밌음 후반부 레이싱 장면과 나오는 음악의 쾌감이 좋았다 ,8
67,스토리야 뻔한데의외로 보는맛이 있다못해 넘침ㄷㄷ보는맛 하나만으로도 충분한듯 ,9
68,재밌습니다. ,10
69,아이와 함께 봤습니다. 어른도 충분히 즐길만한 내용이고 영상미가 좋습니다. ,8
70,책으로 봤던 만화를 영화로~  아이가 너무 재밌게 봤다고 하네요 ,9
71, 영상도 예쁘고 지루함없이 웃으면서 온가족이 잘 봤어요. ,10
72,기대했던만큼 정말 재밌게 본 영화입니다. ,10
73,아이들과 같이 봤는데 재미와 감동이 있네요 강추합니다 ,10
74,,8
75,주토피아가 생각날 정도로 비슷한 주제의 스토리지만... 스타일리쉬한 그래픽과 애니메이팅이 너무너무 좋았어요 ,8
76,재미있게 집중해서 잘봤네요 캐릭터들이 귀여워요 ,8
77,"아이들에게 전라도 518광주 폭동의 추악성을 보여주고싶다면. 이 영화보세요. 조선족, 전라도는 쓰레기입니다 ",8
78,중간중간 웃으면서 꺄~~ 윽~~하면서 재밌게봤어요 ,8
79,초딩 딸셋이 만족한 영화 ^^ ,10
80,어린이날 아들과 같이 보고왔는데 아주 좋아 합니다. 끝나자마자 다시 보자고 조르더니 몇일이 지났는데도 또 보자고 넷플릭스에는 언제 올라오냐고 문곤 합니다. 아이와 같이 보기에 아주 좋습니다. ,10
