,Review,Rank
0,아니 왜 0점은못주는거야 ,1
1,이게 맞는진 진짜 모르겠고. 채드윅보스만 배우님 그립습니다. ,6
2,영화보면서 무한~도전~! 외치고 싶은걸 참았다 ,10
3,볼거리 정말 빈약하다. 아이언맨 디자인은 무슨 후레쉬맨 보는줄. ,4
4,마블도 끝났구나.... ,2
5,"영화가 불쾌함 그자체 연출, 액션, 서사 다 말아먹음 특히 아이언맨을 어떻게든 대체하려고 발광하는 꼬라지가 제일 엿같음 ",1
6,채드윅 보스만의 부재가 느껴지는 영화 ,8
7,쓸데없이 길고 지루하네요. 액션도 별로 인상적이지 않고... ,4
8,액션영화가 액션이 구리면 말이 필요없지? ,4
9,세계최강 과학국가라며!허리에 밧줄 묶고 싸우는 장면에서 경악을 금치못함 ,2
10,와칸다 포에버는 무슨... 와칸다 엔드다 ,1
11,역대급망작ㅠㅠ이전 블랙팬서에서 멈춰야했다슈리 블랙팬서는 해골팬서? 삐쩍말라서 뭐 싸울수나 있겠나 ,2
12,내가 그 이터널스도 나쁘지 않게 봤는데 이건 진짜 아니다 히어로 영화를 보면서 빌런을 응원한건 처음이다 영화를 보는 내내 들었던 생각은 빌런이 걍 히어로들 다 처치하고 이겼으면 좋겠다 뿐이었고 특히 아이언하트는 진짜...,2
13,"솔직히 1편도 재미있게 보지는 않았지만, 1편보다 더 못한거같다.채드윅의 공백이 너무 크고, 아직 슈리가 이끌어가기엔 힘도,연기도 뭔가 다 부족하다. 아이언하트는 얘가 왜 아이언맨 후계자가 되어야하는지 이해가 전혀 ...",6
14,채드윅 보스만이 그립다… ,10
15,채드윅 보스만님의 명복을 빕니다 ,10
16,와칸다 포에버 같은 소리하네..와칸다 엔드다 엔드 ,4
17,이딴게... 탑급 성장한 프랜차이즈의 2022년도 최신작....? ,2
18,영화 보고 평점 달자 ㅈㅂ ,10
19,블랙팬서 와칸다는영원하라 ,10
20,채드윅 보스만을 잊지 않겠습니다 ,10
21,"영화 설정상 세계최강국이라는 와칸다와 바다나라가 군인 다 합해야 200명 남짓. 와칸다는 배1척 비행기는 10기 정도 있고, 바다나라는 큰 고래 2마리 있음. 근데 미국은 그거 보고 아이 무서워! 하면서 가민히 있는...",1
22,블랙 팬서 재밌어ㄹㅅㄷㅆ ,10
23,솔직히 올해 나온 마블중에 최고였음...연출도 너무 좋고 OST며 수중 전투씬 등 기승전결 다 좋았던거 같음...채드윅 제대로 추모한 느낌...ㅠ_ㅠ 슈리도 울고 나도 찡하고... ,10
24,Ost 너무 좋아서 다 찾아봐야지 생각듬. 영상미 좋고 내용도 너무 좋았고 죽음자체를 생각해보게된 시간. 너무 좋았다. ,10
25,채드윅에게 바치는 영화 ,10
26,채드윅 보스만을 향한 헌정.. 그 어떤 마블보다 울림이 깊었습니다 ㅠㅠ 역시 블팬은 실망시키지않네요… 오에스티가 진짜 대박 ,10
27,와이카노 ,4
28,웃다가 감동이다가.. 걍 감정의 소용돌이 그 자체였음ㅋㅋㅋ 간만에 넘 좋았던 영화임! ,10
29,"블팬 없는 블팬 영화, 마치 홍철 없는 홍철팀인데 무한도전 포즈 자꾸 나와서 오히려 웃겼던 ㅋㅋㅋ ",1
30,티찰라에 대한 예우 그 자체 ㅠ ,10
31,와칸다포에버.시작부터 끝날때까지 오열했어요.블랙팬서 팬이시면 손수건 준비.고민말고 보세요. 너무 재밌어요. ,10
32,채드윅보스만을 추모하는 부분이 좀 길지만 난 오히려 좋았고 슈리펜서는 좀 아쉬운 정도였지만 아이언하트는 영화에 마이너스 요소. 최근에 나왔던 마블영화 내리막길에 브레이크는 밟았다고 생각하고 앤트맨에서 반등하기를그리고...,9
33,역시 마블 최고 간지는 블랙팬서다 ,10
34,생각보다 재밌음!!! ,10
35,채드윅 보스만... 삼가 조의를 표합니다. (개봉날 보는 사람들 너무 부럽다!) ,10
36,"마블은 역시 마블이다... 와.., ",10
37,"엔드게임이후 블위, 이터널스, 닥스2, 토르4(사상 최악의 영화)까지 다 실망 밖에 없었고 블팬1도 재미없게봐서 기대를 안하고 봤는데 정말 재미있었다. 채드윅 보스만을 위한 헌사가 많이 느껴졌고 액션도 만족스러웠다....",10
38,지루하긴했는데 그냥 가볍게보면 괜찮게 재밌었다 ,10
39,시간이 너무나 아깝네요 너무 재미없음 ,1
40,마블하면 액션 뽕맛인데 옆동네 블랙아담이랑 너무 비교된다 블랙팬서의 묵직한 타격감은 온대간대 없고 뭔 길고양이 마냥 냥냥 거리다가 화해하고 끝나냐 2대 아이언맨이랍시고 나온 아이언하트는 무슨 미국판 파워레인져에서 나...,1
41,2시간 짜리 장례식 ,4
42,와칸다 포에버 외칠 때 포스가 너무나 빈약 ,2
43,"슈리펜서 무게감부족,, 아이언하트는 분리수거해야할듯 ",5
