,Review,Rank
0,삽입곡만 좋았음 그마저도 너무 상황에 충실해서 웃기긴함 ,1
1,아 진짜 별룬디...ㅠㅠ ,1
2,"스토리가 단조롭고, 감정선이 설득이 안되고 난데없다 ",1
3,아... 총체적 난국. 원작을 이렇게 망쳐놓다니! 10점 주신 분들 전 이해도 공감도 안됨. 여배우들 그게 최선입니까? ㅜㅜ ,6
4,이..이게뭐노……이게 뭐냐고… ,1
5,"굳이 리메이크를 했어야 했을지,,, 판타지 로맨스의 판타지도 로맨스도 둘 다 잡지 못한 것 같습니다. ",5
6,기대가 컸나봐요..90년대 향수를 불러일으키기에도 역부족 이었구연출.. 연기 아쉬움이 많이 남네요.. ,6
7,원작을 안봐서 잘모르겠지만 조금 오글거리도 하구 뭔가 그렇게 까지 명작은 아닌 느낌입니다. 그냥 그런..? 무난한 것같아욤 ,7
8,영화 보기 전에 원작을 봤는데 확실히 시대감 부분에서 연출이 좀 많이 아쉽긴 했는데 요즘 애들이 약속이 있다고 비 맞고 기다리는 건 좀.. 아무리 리메이크라 미래 사람이 맞고 있는건 그렇다쳐도 너무 억지가 아니였나....,9
9,그냥.. 그럭저럭… 기대 이하였어요 ,1
10,각본 쓰면서  '오 나 대사좀 치는데' 이 생각 하지는 않았겠지? ,4
11,스토리 개연성 추천하지않습니다. 여진구가 그나마 영화를 살립니다.. 삽입곡만 좋아요 ,1
12,여태 본 영화중에 가장 시간아까웠던 영화…. ,1
13,12000원 바닥에 버리고 온 썰 푼다 ㅋㅋ ,1
14,여기까지가~ ㅋㅋ ,5
15,이게 뭐지.... 진구 연기만 남은 영화 ,4
16,"실시간으로 평점 조작하는 거 봤습니다.평점이 7점대였는데 새로고침 하니까 9점대가 되네요 ㅋㅋ좀전까지 있던 2점짜리 리뷰들 다 아래로 밀려서 안 뜨고 ,,,어이가 없네요.. 영화는 역대급으로 '못' 만...",1
17,너무 오글거림 ,5
18,원작의 장점을 지워버린 촌스럽고 안일한 연출 ,5
19,진짜 죄송한데 보지마세요 이건 아님.. ,1
20,이해는 하지만 동감은 못하겠다. ,6
21,2022년 최악 영화 top3에 들어갈 영화... ,3
22,"동감가지 않는 리메이크작, 원작을 재개봉하는게 나아보였다 ",2
23,2000년 작품의 김하늘배우 역할을 여진구배우가 맡아서 이색적이었음. 극 초반 손발이 오그라드는 유치한 대사와 발연기가 어색했지만 2000년 원작도 비슷했음. 21학번 세대가 쓰는 유행어에 대한 고증이 부족하고 너무...,8
24,이제는 흔해진 소재의 영화를 왜 리메이크 하는가에 대한 나쁜 대답. ,4
