,Review,Rank
0,최민식이 열고 최민식이 닫았다.... ,10
1,파이송 OST 음원 내줘요.... ,10
2,"어쩌면 뻔한 스토리일지도 모르지만, 우리가 원하는 세상을 이야기하는 동화. 난롯가처럼 맘이 따뜻해졌습니다. ",10
3,초반엔 상당히 신선했는데 말이죠... 리학성의 사연이 드러나면서 부터는 뻔한 결말로 치닫습니다. 급조한듯한 결말. 그래도 감동으로 잘 보고 왔어요. ,7
4,학교가 가르쳐야 할 것은 공식이 아니라 사람이다. ,6
5,역시 최민식! 올해 본 영화 중 제일 감동적이고 재밌었어요 ,10
6,"수학을 주제로 사용한 영화라 신선하고 인상적이었음. 스토리도 개연성이 없는 편은 아니었고 어느정도 납득할만한 정도. 배우들 연기력이 뛰어났다. 최민식 배우님은 두말할 것도 없고, 학생 연기하는 배우들 모두 충분히 이...",10
7,최민식의 연기로 끌고가다가 하필 제일 중요한 장면에서 최민식의 연기가 아까울정도의 심각한 연출로 작품이 무너져내렸다 ,5
8,최민식이라는 대배우를 통해 위로 받고 힘을 얻었습니다. 마음에 깊은 울림을 주네요 ,10
9,2월말쯤에 CGV 플친이벤트로 당첨되서 봤는데 올해 개봉한 한국영화중 최고였음 수학관련 영화는 싫을 줄 알았는데 재밌게 봤다 최민식 배우 연기 개잘한다.. 믿고보는 최민식 배우 ,10
10,전반부는 좋았는데 후반부에 급격히 무너지네 ,6
11,최민식이 연기로 구원한 영화.. 소재와 초반 내용은 꽤 흥미로웠는데 뒷심이 매우 아쉬웠다. ,6
12,"'노력하는 사람이 두번째로 지친다, 그리고 용기있는 사람이 마지막까지 남는다  오늘 안되면 내일 다시'   이게 너무 좋았어요 ",9
13,"후반부로 갈수록 몰입이 되어야 하는데, 몰입이 깨지게 된다. 갈수록 엉성하고 어처구니가 없다. 왜 호구짓 하냐고 화내지만 익명에 글을 올릴 뿐 전면에 나서지 않는 학생과, 제 말따라 증언뿐인데 결정적 증거인냥 행동하...",6
14,기대하지 않고 본 영환데 좋았어요! 좋은 시간 보냈습니다. ,9
15,신선한 소재와 명품연기의 발란스 ,8
16,후반부 스토리가 급격하게 산으로 흘러가네요.. ,8
17,좀 억지스러운 부분이 있긴한데 그래도 캐릭터가 참신하다. ,9
18,"최민식 배우의 연기는 명불허전이었지만, 이야기는 다소 아쉬웠습니다. ",7
19,교육철학에 대해 다시금 생각하게 해주는 영화 ,9
20,"궁극적으로 <이상한 나라의 수학자>는 삶의 방향성과 방식에 관한 온화한 드라마다. 북한에서는 학문의 자유를 제한하며 수학을 무기 개발에 필요한 도구로 쓰고, 남한의 수학은 입시 커트라인을 가르기 위한 잣대...",6
21,연기 감성 스토리구성 좋아요 ,10
22,최민식이 최민식했다.Q.E.D. ,10
23,예전 고등학교시절이 생각나네요!! 역시 믿고보는 최민식ㅎㅎ ,10
24,"두서없는 전개와 한국신파, 엉성한 느낌으로 영화 제목답게 어른들이 볼 영화라기보다는 아이들이 볼만한 가벼운 영화가 아닐까 싶습니다. 예고편에서 기대했던게 전부였던 영화로, 너무나 아쉽습니다. 그나마 피아노 노랫소리만...",4
25,자극적인 컨텐츠가 많은 요즘 가족끼리 볼 수 있는 따뜻한 이야기 였어요. ,10
26,"최민식 배우의 연기만이 보이는, 전형적인 한국영화의 클리셰가 가득해서, 슬픈장면에서 피식하고 웃음이 새어나왔다. ",6
27,리만가설이고 나발이고 만듦새 구린건 Q.E.D. ,5
28,최민식과 딸기우유 ,8
29,극장이 아니라 KBS2TV 보고 있는듯한 착각 ,7
30,마무리가 아쉽다!! ,6
31,수포자에게 위로가 되는 영화. 파이송도 멋지다. ,10
32,뻔했지만 뻔하지 않은 스토리가  OST가 너무 좋았다. ,10
33,초반에 재밌다가 후반으로 갈수록 점점 덜하는 K-감동무비 나름 볼만함 ,7
34,"연기력이 너무 좋았고, 새로운 이야기로 재밌게 볼 수 있었어요. ",9
35,힐링물로 재밌음. 순탄하게 흘러가는 예측 가능한 줄거리. 하지만 그래서 재밌음ㅋㅋ ,8
36,보고나와서 기분이 정말 좋았던 영화 ,10
37,잔잔하고 좋았어요. 특히 배우들의 연기가 돋보였고 왠지 위로해주는 좋은 영화였습니다 ,10
38,불필요한 장면들이 너무 많았고 마지막으로 갈수록 초반의 분위기가 사라졌다. 그래도 최민식 연기는 최고였음 ,5
39,시나리오를 읽었던 입장에서 너무 아쉬운 영화라고 느껴졌어요로케이션과 미술을 정말 영화를 극대화 시켜줄 수 있는 장치에서 한참 기대를 못미쳤고 너무나도 TV에서 볼 수 있는 듯한 드라마 느낌의 영상미와 연출도 아쉬웠어...,6
40,기대하며 시청했는데 너무 재밋던데요?!기대 이상 이었달까오랜만에 영화 같은 영화 본 것 같아요 ,10
41,수학자 최민식 쫌 멋짐 ,8
42,오랜만에 최민식의 열연을 볼 수 있어 너무 좋았던 영화 ,8
43,수학이라는 낯설고도 익숙한 주제가 신선하게 느껴졌다 ,7
44,스토리와 반전이 넘 진부해.. ,6
45,최민식 밖에 안보이는 영화. 단편 드라마가 더 잘어울리는 영화. 너무나 유치해서 '나갈까?'라고 고민했었다. ,4
46,재밌기만하구만요.. ,8
47,최민식씨가 다했다! ,8
48,선생님보다는 친구가 필요하고 해답보다는 위로가 필요한 이 시대에 꼭 필요한 영화 ,10
49,최민식의 연기는 정말 팔색조처럼 영화속에 녹아들어서 어떤작품에서든 뛰어난 연기를 보여준다. ,10
50,상대 배우 연기부족/ 중후반부 스토리/ 어색한 연출로 별 하나씩 뺌 별 두개는 최민식거임 ,4
51,수포자들이여 당신들은 죄가 없습니다. ,10
52,"우리가 올곧게 살아가고 있음을 증명하긴 어려워도, 누군가 함께 올곧아 보자 손을 맞잡아 주는 것은 큰 힘이 된다. ",9
53,"감동 한스푼, 최민식 연기가 다 함 ",8
54,최민식이라는 대배우를 통해 위로 받고 힘을 얻었습니다. ,10
55,파인딩 포레스트와 여인의 향기의 설정을 가져와 상황만 조금 바꿔서 만든 나쁜 영화 ,2
56,최민식의 연기는 최고지만 스토리나 연출이 아쉬움 ,7
57,영화가 진짜 뭔소린지 모르겠어요 ,1
58,중구난방이라 보기 힘들다 ,3
59,역시 최민식!! 식상하지 않고 좋았어요 ,10
60,뻔히 예상되는 스토리와 뻔한 클리셰들. 하지만 최민식의 연기가 그것들을 어느 정도 상쇄해준다. 그냥 저냥 볼만한 영화. ,6
61,잔잔하고 여운이 남는 영화 ,9
62,뻔한 스토리였지만 배우분들의 연기가 훌륭하여 재밌었습니다. ,9
63,정답보다 과정이 중요하다 ,5
64,"역시는 역시, 최민식은 최민식이다 ",7
65,"딱 나에게 필요했던 위로와 감동, 동화같은 재미까지! ",10
66,"쥐어짜는 눈물이 아님, 휴머니즘 좋아하는 분이면 보기를 강추 드립니다. 사회 약자층을 고루 보여주며, 정의는 살아있음을 다시 한 번 일깨워 줌 ",10
67,확실히 초중반의 알듯말듯한 분위기에 비하면 후반 전개는 이미 여러 번 봐온 느낌? ,6
68,최민식배우님의 연기에는 감동아들스토리는 뭔가 갸우뚱.... ,8
69,최민식님의 연기는 좋았다. ,6
70,재미있어요 ㅠ.ㅠ♡♡ ,10
