,Review,Rank
0,영화 제목을 놉이 아니라 돈룩업으로 했어야했다 ,5
1,이번 영화는 정말 모르겟다 ,4
2,일단 확실한건 겟 아웃이나 어스를 기대하고 보면 실망할거임 ,6
3,그냥 영화 자체가 재미가 없고 내가 뭘 본거지 모르겠고 감독이 뭘 말하려는건지 모르겠다 ,1
4,초반 한시간 넘게 아무 사건 없음. 진짜 지루하고 여동생 짜증스런 캐릭. 반전이 별 의미가 없을 정도로 약하고 후반 20분만 볼만함. 침펜치는 왜? ,4
5,평점이 이렇게 높다고? 드럽게 재미없고초반에 엄청 지루함 ,4
6,외계인?보다 무서운건 역시 인간. 중간에 나온 귀신변장한 애새기덜이 ㄹㅇ;; ,10
7,조던필이 영화에 바치는 구구절절한 러브레터. 걍 미친영화 ,10
8,남는 건 사진밖에 없다라는 결론 ,10
9,그래 이게 조동필이지.. ㅋㅋㅋ진짜 N차를 위한 영화인듯ㅠㅜㅜ마지막 장면 잊을 수 없어 ,10
10,이 영화 볼만해? 놉 !! ,1
11,"난해하지 않은데 무슨 내용인지 알기 어렵고, 긴장과 두려움을 조성하려 하는데 지루하고 졸리면서 하품하게 되는 영화. 조던 필에게 겟 아웃은 어쩌다 얻어걸린 영화였던 듯. ",1
12,인간에게 고기로 잡아먹히는 동물들이 저런 기분일까 하는 생각이 ,8
13,좌충우돌 4인큐의 회색 가오리 사냥대작전 ,7
14,생각보다 평점이 좋네요 ? 개인적으로 전작만큼의 신선함을 기대해서 그런가 별로였습니다 ,6
15,동필아 왜그랬냐... ,3
16,나는 멍청해서 평론가들처럼 숨은그림찾기를 할 수 없었다. 그저 지루한 코스믹 호러였다. ,3
17,"조동필 감독님 어떻게 이런 생각을 하셨는지 와,, <겟 아웃>이랑은 또 다른 느낌으로 재밌네요 ",10
18,"개인적으로 어스보다는 재밌었는데, 겟아웃처럼 좀 더 대중적이였으면 좋았을거 같다 ",8
19,분위기가 진짜 압도적이고 조동필 이번 연출 미쳤다.. 모든 예상을 뛰어넘는 서스펜스 드라마. 이번 주말에 한번 더간다 ,10
20,원래 리뷰 안 쓰는데 이렇게까지 혹평 받을 영화가 아니라 제가 다 속상해서 써봅니다ㅠ 너무 좋아하는 감독이라 기대를 많이 하고 봤습니다. 영화관에서 봐서 그런지 액션이나 영화 자체도 볼 만했어요..!! 엄청난 압도의...,10
21,아직까진 겟아웃이 제일 좋다 ,6
22,영화자체의 재미보다는 걍 죽자고 숨은의미찾기만이 영화보는 방법이다하는분은 재밌게볼듯 ,1
23,이 영화를 보고 난 후 자꾸 하늘을 보게 된다 ,8
24,"찍히는 자의 찍는 자에 대한 경고 혹은 외침, NOPE! ",9
25,"인간은 일부러 호랑이 굴에 들어가고, 그 속에서도 영화를 찍는가 하면, 그러고도 살 길을 찾는 존재 ",10
26,난해하다고 생각하면 정말 재미없고 잘만들었다고 생각하면 정말 재밌는 영화 ,10
27,이딴게 영화..? 인물들 행동에 어느정도 설득력이 있어야 하는데 전혀 없음. 과장법이나 캐릭터 문제가 아님. 초반이 지루하다는 평이 많은데 개쫄이라 오히려 초반을 흥미진진하게 봤고. 후반부분은 팍식하면서 봤음. 근데...,1
28,"보다가 꿀잠 잠..집가서 잘 걸 ,,, ",4
29,겟아웃보다 어스에 가까운 영화입니다 ,6
30,"지루하다는 평이 많은데 난 너무 취향저격,, ",10
31,난해하다고 다 재밌는 건 아니다. ,6
32,"리키 주프 박은 과거의 경험을 통해 자신이 특별하다고 생각했고, OJ는 대상의 습성을 파악하고 그 대상의 관점으로 바라보려고 했습니다. 그 차이를 두고 생각해보니 더 흥미롭네요~ ",10
33,호러라기보다는 스릴러 영화였습니다.영화가 사운드가 좋아서 더 집중하게 됩니다.끝나고 난뒤 의미를 곱씹어보기 좋습니다. ,8
34,집에 와서 되새겨볼수록 재밌는 영화 ,10
35,스크린과 카메라를 닮은 '그놈' ,8
36,평점이 높지 않아서 기대는 안했는데요. 왠걸 재밌네요. 우주선에 관한 기존의 관념을 바꿔주니 놀랍습니다. 역시 아이디어가 돋보입니다. 이점은 감독의 전작 겟아웃에서도 관객을 놀라게 하는 것은 이번 작품에서도 여전합니...,10
37,"중반 이전엔 희한한 영화라 생각했고, 중반 이후부터는 공포, 긴장, 짜릿함을 느꼈고, 무엇보다 용감한 주인공들 덕분에 흥미진진하게 봤습니다^^ ",9
38,뭔 소린지는 모르겠는데 재밌었어요. ,10
39,메타포만으로 버무리면 멋있을줄 알았지? ,1
40,이번엔 좀 평이 심하게 나뉠듯한. ,7
41,언제부터인가 조던 필이 너무 어려운 얘기를 하기 시작한다 ,6
42,관심은 때때로 독이고 약이 된다 ,10
43,재밌긴한데 어스도 그렇고 조금 덜어냈으면 좋겠다 ,7
44,그래서 무슨 영화인데? ,7
45,영화 티켓값이 비싸져서 그런건지 언젠가부터 어려운 영화는 시간 돈 들여서 보기가 꺼려져요 ,5
46,이 감독의 작품중에서 가장 스케일이 큰 영화. 뭔가 알듯말듯 미묘한 메세지의 전달과 함께 섬뜩한 긴장감이 좋았어요 ,9
47,확실히 대중적이진 않은 영화. 장면마다 말하고자 하는 메세지가 내포되어있을것 같은데 내 기준으론 이해가 잘 안됐고 볼거리나 재미면에서도 아쉬웠음. 해설이라도 찾아봐야 조금 이해할수 있을듯.. ,7
48,백퍼센트 이해한건 아니지만 왠지 모르게 재밌었어요. 서사는 꽤 불친절한 편입니다 ,7
49,정성껏 뭘 많이 넣었는데 와닿는게 하나도 없다 ,6
50,조던필의 다음 작품도 기다려진다 ,8
51,감독 정말 대단합니다.영화 잘 만드네요. ,9
52,난 모르겠다.. ,4
53,날아다니는 해파리를 찾아서.. ,8
54,"긴장감,영상미 훌룡한데..  후반 갈수록 힘이빠져버려서 이걸 좋다해야하나 안좋다해야하나.. ",8
55,"조각조각나서 여기저기 흩어진 장면들의 사이가 메꿔지는 과정에서 오는 희열? 호불호 갈릴 영화는 맞고, 불호면 절대로 불호고 호면 절대로 호임. ",10
56,독특하긴 했는데 너무 취향에 안맞음 ㅠㅠ ,6
57,신선했음 ,7
58,보고나면 남는 글자 하나 '엥?' ,4
59,"본인만 아는 자의적 상징으로 장르성은 개뿔 , 예술 영화도 못 되는 선전용영화. 제일 과대평가된 감독 ",4
60,미국이 낳고 한국이 키운 조동필 감독이 또 다른 막내 데리고 왔는데 이번에도 상상력 미쳤고 신선함도 미쳤고.. 보고 나서 해석하면서 바로 2차 관람하는 기분 들게 만드는 독보적인 영화 그잡채 ,10
61,어스도 그랬지만 점점 더 해석이 필요해지는듯 ,7
62,무섭다기보다 짜릿짜릿한 긴장과 스릴로 쉴새없이 전개되는 재미 ,8
63,올해 본 영화 중 가장 재밌었다겟아웃 보다도 더 재밌었고... 영화 좋아한다면 좋아할 것 같음약간 크툴루 같은 공포 ,10
64,?이상하게 조던필 영화는 홍보할땐 엄청 뭐 있을거같이 해놓고 막상 까보면 영 별로야... 몇번을 당했는지 .. 근데 또 시작 전엔 기다려지고..ㅋㅋㅋ ,6
65,겟아웃 이후 점점 내 취향과 멀어지는 조동필 감독님 ,6
66,"어떤 볼거리에 매혹되어 갈수록 많은 이들이 나 자신을 잃어가고 결국 텅 비워지는 가운데  끝끝내 나를 잃지 않고 달리고 도망쳐 목격해낸 그 스펙타클, 영화를 위한 헌사. ",8
67,"""nope은 nope은 하늘은 봐라"" ",8
68,"아이디어는 역대급으로 참신하긴 하다. 그런데, 중요하게 다룬 침팬치 사건은 무슨 연관이 있는 걸까.... ",7
69,조금 지루하고 조금 난해한거같아요 ,5
70,"시종일관... 이건, 아니라고... 말하고 싶었다;;; ",5
71,아니 도대체 왜? 아니 도대체 왜? 아니 도대체 왜? 이러다가 영화 끝남. ,5
72,보긴 봣지만 무얼 봤는지 ,5
73,"시네마에 대한 예찬, 기묘하고 기이하다 ",9
74,끝나고 나오면서 이게 뭐여... 하면서 나온 영화 ,4
75,7점 주려고 했는데 과하게 혹평하는 리뷰들이 많아서 10점으로 올림. 호불호는 많이 갈려도 만듦새는 좋은 영화임 ,10
76,글쎄요..전 잘 모르겠어요..전작들이 나은 듯.. ,7
77,조던필 특유의 느낌은 지속되지만 전작들에 비해 아쉬운 부분이 많네요. ,7
78,"조던필 답게 조금은 난해하고, 무섭고, 상징적인 내용을 내포한 영화. 전작들보다 호불호가 좀 생길듯 ",9
79,초반엔 흥미로웠는데 중후반부는 아쉬운거 같음 ,8
80,기대감이 컸던가; 반복적이고 피로했다. 그래도 끝에 뭔가가 있겠지- 뚫어지게 보니까- 엔딩크레딧이 올라오더라- ,5
81,전형적인 평론가형 상징놀이 영화 ,4
82,농장 안에 기괴한 검은 괴생명체 씬이 가장 기억에 남는다 ,7
83,장르영화의 매력을 살리며 메시지를 전달하는 올바른 방법 ,8
84,기대가 너무 컸는지 지루했다. ,7
85,"이해가 안된다고 나쁜 영화는 아니다. 시각적으로 압도당하는 느낌, 적절한 공포감, 스펙타클하다는게 맞는 것 같다. ",7
86,"장르를 뒤집어 나만의 영화를 만들겠다는 야심 밖에 보이지 않는다. 하지만 다음 영화도 이런 식으로 만들면 이번엔 관객들이 당신한테 ""Nope"" 이라고 외칠 것이다. ",5
87,평균 평점이 말이돼???   이거 영화본사람들 맞아 ???? ,1
88,겟아웃 > 어스 > 놉 이었어요 이번 작품은 너무 실망 ,1
89,겟아웃 >  놉  >> 어스 ,8
90,이번엔 내 스타일 아닌 조던 필 ,6
91,충분히 훌륭한 차기작. 하나의 주제로 더 넓은 세상을 그려내는 조던 필. ,7
92,계속 생각해보게 만드는 영화. 다음 작품도 기대된다 ,9
93,참신한데 이전 작품에 비해서 스토리 융화력은 조금은 아쉽다 ,8
94,이걸 왜. 왜 봤을까 ㅠ ,2
95,이 영화는 IMAX로 봐야 제 맛인 듯... ,9
96,"호러보단 그냥 sf 느낌,,,, ",8
97,"대지미술(大地美術, Land Art)과 공포 장르를 결합한 것 같은 이색적인 영화 예술 ",8
98,조던 필의 팬이라면 행복사할 영화 ,10
99,소리로 와닿는 호러영화 ,9
100,"감독이 말하려는 바는 알겠으나, 초반 전개가 굉장히 늘어진다... ",8
101,어스 겟아웃 보고 달려갔는데 정말 놉 ,2
102,볼만한호러영화이지만무언가지루하다 ,6
103,재미없어요 ,4
104,이 영화 재밌나요?놉 ,4
105,누구든 작은 침팬치를 건드리면 큰일나는 것이에요 ,9
106,직관적이지는 않지만 조동필식 특유의 긴장감과 표현방식이 재미있었다 ,8
107,나쁜 기적도 있을까? ,7
108,인간에게 대입되는 그 미지의 존재에 대한 공포. ,7
109,영화의 과거와 영화의 미래로 동시에 나아가는 러브레터 ,8
110,???? ,7
111,신선하다 그러나 지루하다 ,10
112,내가 이걸 해석하면서 봐야 해? ,5
113,"촬영도좋고 연기도 좋고 볼거리도 많습니다.그러나 내용이 난해해요.스토리는 단순해보이지만,보이는게 다가 아닌거같네요.저게뭐지?뭘 의미하지?라는 생각이 내내 듭니다.대중매체 문화 문학등에 대해 다양한 지식이 있어야 더잘...",7
114,기대없이 봐야 재밌을 것이다.. 불친절하긴 하지만 특이한 영화라서 난 좋다. 사운드 특화 상영관에서 관람하면 더욱 좋을듯! ,10
115,초반에 엄청 긴장하면서 봤는데 후반가니깐 뭐지 이게 싶었음 ,6
116,아주 놉이다 정말 놉. ,5
117,해석이나 해설을 아예 모른 상태로 봤다면 무슨 영화를 본지도 잘 모르겠네요 저 같은 일반 관객에겐 지루하고 답답하고 의문스러운 영화였습니다 ,3
118,"인상을 쥰ㄴ나 쓰게 만드는 ,,;;0 ",1
119,"음... 겟아웃, 어스를 잼있게 봐서 기대했지만... 많이 아쉽네요... 의미도 좋지만 일단 영화가 잼있어야 하는데 뭔가 허무했습니다 ",5
120,조동필씨 진짜 천재시네요... 러닝타임 내내 숨도 못 쉬고 봤습니다. ,10
121,"극장에선 신박한 UFO 스릴러물. 끝나고 곱씹으면 살벌한 미국사회 부조리물. 조던 필 감독이 진화했음. 백인, 혹인, 아시안계, 히스패닉 전부 후드려 팸 ",9
122,조던 필 작품 중 역대 최악의 작품 ,2
123,설명이 필요한 드립은 실패한 드립이다 ,8
124,조던 필한테 또 속았다 ,2
125,볼거면 스포없이 봐야하고 포스터도 자세히 보지마 ,8
126,놉 정말 재미있어요. ,10
127,놉….. ,8
128,이번 영화는 모르겠습니다. ,7
129,굉장히 공들인 작품전작에 비해 좀 아쉽다 ,7
130,장치가 많아서 생각하는 재미가 있었습니다. 보통 이런류의 영화는 결말이 껄끄럽거나 힌트없이 의문을 남기기 마련인데 이 영화는 제 기준으로 시원시원했습니다. 영화가 끝나도 섭섭하지가 않았어요! ,9
131,약간의 스릴과 장난을 함유한 기묘한 이야기를 즐긴다면 ,8
132,이 영화 개재밌다고 하는 사람들이랑 친구먹고싶음 ,10
133,"이래서 처음부터 너무 잘 하면 기대감이 커진다니까,, ",4
134,놉 답이 없는 영화 ,10
135,전작과는 전혀 다른 느낌의 모호한 주제의 영화. ,9
136,영화감독이라면 영화로 메세지를 전하라. 주저리주저리 변명 늘어놓지 말고. 시간과 돈 둘다 잃느냐 돈만 잃느냐 둘다 잃지 않느냐 잘 판단하시길. 평론가들이나 이상하게 조던필 과잉칭찬하는 사람들 많은게 노이해. 겟아웃 ...,1
137,솔직히 이해가 잘 안됨 사운드에 공들인것만큼은 인정 ,6
138,영화재밌어? 놉 ,6
139,재밌게봤어요 압도당하는 느낌 ,8
140,감독 진짜 천재다 생각할게 많은 스릴러호러무비 ,10
141,재미있었어요 ,9
142,겟아웃보다 더 발전했다!!꼭 스포 없이 보시길 ,10
143,그것이  그것이 아니었다.예상밖의  스토리 감독이 대단하다. 만족스럽게  즐겼다. ,9
144,알고보면 의미없는 컷이 하나도 없는 영화 ,8
145,얼핏보면 단순해 보이는 영화이지만 장면장면마다 부여되어있는 의미를 안다면 결코 단순한 영화가 아님. ,8
146,그것이 괴기스럽 않아서 시시하고 덤덤하고 지루함. ,4
147,곱씹을 수록 좋아지는 영화 ,10
148,조던필 감독의 영화중 가장 좋았다 ,10
149,현존하는 조던 필 영화중에 제일 좋음 ,8
150,오랜만에 최고의 몰입감을 느낄 수 있었던 영화.의도한 뜻을 찾기가 쉽지 않았지만깊게 들어가지 않고 그냥 영화를 따라가기만 해도긴장의 고조를 느낄 수 있다고 생각한다. ,9
151,스펙타클하고 재밌게 잘 봤습니다. ,8
152,두 시간 넘게 보는 것이 진정한 공포. ,6
153,평론가들만 좋아할 영화 ,6
154,조던필 특유의 화법이 좋다. 전혀 상관없을것 같은 이야기가 매력적으로 대칭되어 있다. ,8
155,신선하지만 엉성하다. ,6
156,신선했어요! 음악이 참 좋네요. ,7
157,카메라 예술에 대한 조던 필 감독의 가슴 뜨거운 헌사. ,9
158,심장 부여잡으면서 봤어요 ,8
159,접시와의 눈싸움..아 내 시간 ,1
160,무슨 일이고 무슨 말인지 ,3
161,한국인은 이해하기 굉장히 난해한 주제들과 메시지들. 전하고 싶어하는 말이 굉장히 많고 난잡함. 미국과 유럽사회에서 흑인과 유색인종에 대한 백인의 시선과 대우를 관객들에게 전하면서 영화계를 비판하는 영화. 이 사실을 ...,6
162,호불호가 갈릴 듯한 ,7
163,감상평도 돈아깝다 ㅡㅡ ,2
164,조던 필 감독의 머리속을 해부하고 싶다.진짜 흡입당했다 ,10
165,필모 중에 제일 아쉬움이 남긴 함 ,8
166,공포냐 스릴러냐 미지물이냐 갈피를 못잡는... ,6
167,어스랑 다른 느낌. 아무것도 모르고 가는 것 추천 ( 예고편도 안보고감) ,7
168,UFO와 외계생명에 대한 참신한 해석 ,9
169,일단 보면 멈출 수 없다. ,8
170,"무섭지 않은 공포영화. 영화의 역사와 미디어에 대한 비판, 공포 세 가지 맛을 한꺼번에 맛볼 수 있는 영화 ",10
171,"서부극, 호러, SF 등 여러 장르들을 조화하는 조던 필의 상상력이 대단하다 ",9
172,다양한 해석의 여지를 주지만 영화적 재미는 떨어지네요 ,7
173,저는 전작들보단 별로에요 ,5
174,신선하고 공포스러우면서도 후련함. 많은 메세지들이 결국 하나로 엮여서 전달되는 영화. 은유가 가득한 영화지만 직관적으로도 충분히 즐길 수 있습니다! ,9
175,"내용이 이해가 되지않는 부분이 어느정도 있었지만, 크게 놀라거나 징그러운 장면보다 잔잔하게 무서운 장면이 더 많은 것같았다. 개봉일날 가서 아무도 없을때 봤는데 정말 무서웠다. ",9
176,진짜 재미있게 봤다 두번 볼것이다.. ,10
177,미지와의조우와 죠스를 퓨전시킨 가오리 길들이기 같은 영화랄까…  친절하지 않다는 이유로 영화를 비난하는 맹구들의 습격 같달까? ,7
178,"음....기대이하였어요....긴장감 넘치는 걸 기대하고 갔는데 많이 루즈하고 중간중간 헛웃음이 나왔네요ㅎ 딱히 전하려는 메시지도 뚜렷하게 없는 것 같고...영상미만 좀 볼만해요,, ",5
179,"평높게준 사람들 해석,숨겨진 의미 이단 옆차기하는 소리하지마세요 재밌는 영화는 해석없이도 재밌게보고 다보고 해석해보고 이해하면 그것만의 또 재미를 주는거지 이영화는 해석해봐도 별거없고 노잼인데 뭘 ",1
180,"오랜만에 풀아맥비인 영화 봐서 기분 좋았음. 특히 용아맥에서 관람하길 잘한듯하다. 동필쓰 영화 이제 믿고 봐야할듯~ 겟아웃, 어스보단 아니였지만 재밌었음 ",7
181,기대 이하 조잡한 영화 ,4
182,사운드 디자인 미친 영화 ufo uap 정체가 밝혀지기 전까지 극도의 긴장감을 유발한다  해석할 가능성이 여럿이라 호불호가 극단적으로 나뉠수있다 ,7
183,"IMAX로 관람했습니다. 스크린 올려다볼 때, 실제로 하늘을 올려다 보는 느낌이 들어 으스스했고, 사운드도 공포스러웠어요! ",10
184,보면 디진다 (10자) ,8
185,끝나고 나서가 더 재밌음 ,10
186,"짐승을 길들이려면 눈을 마주쳐야하고, 영화를 길들이려면 촬영을 통해서 눈을 마주쳐야한다. ",8
187,역시는 역시만족스러운 영화 ,10
188,너무 의미를 숨겨놓다 보니 재미는 살짝 반감된다 ,8
189,재미가 없다기보다는 뭐 어쩌라는 건지 모르겠는 영화… 상징적인 영화 좋아하는 편인데도 이 영화는 좀 아니었어요…; ,4
190,조던필 영화 중에 최고이자 인생작으로 꼽고 싶다.경이로운 영화로 용산 아이맥스에서 보기를 강추한다. ,10
191,엄청 몰입됐는데 또 엄청 어렵네요영화보는 내내 뭘 말하고자 하는걸까를 생각했어요 그래도 이해가 안돼서 이동진씨 설명영상보고 비슷하게 느낀 부분이 있구나 생각했슴다 그러나 볼만은 했어요 ,8
192,중간까진 몰입하면서 봤는데 역시나 똥싸다  끊긴 영화네요 ,2
193,와 꼭 보시길 ! . . 예상도 못한 상상의외의 결말부분이 개쩜 ! ,10
194,굳 .... 긴장감 유지 잘하네 ,10
195,영화가 불친절한 편이고 약간 지루한감이 있어요 ,4
196,,10
197,헐?? 내가 뭘 본거지?? 어디서 놓쳤지? 해석보고 다시 보러간다...ㅁㅊㄷ.. 조동필.. ,10
198,낙하산인줄알았다 ,5
199,사람들은 무언갈 찍으면 그것을 정복했다고 생각한다 ,8
200,(룩업) 놉... ,6
201,과거 영화만이 가지던 고유한 가치를 기괴하면서도 자신감 넘치게 다시 써내려간 조던 필 특유의 장르 파괴적 스토리 ,9
202,기대가 있었는데 재밌게 봤습니다 ,8
203,눈을 깔고 다닙시다 ,7
204,영화를 위환 영화 ,10
205,"겟아웃, 어스.. 점점 더 발전하는건지 더 난해하게 어려워지는건지 모르겠지만 아직까지는 흥미롭다. 샤말란처럼만 되지 않기를... ",7
206,아이맥스로 봐야하는 영화미친 연출 ,9
207,최고였다 ,8
208,다소 상징적이긴 하나 그다지 어렵지 않고 오히려 비유가 신선함 ,9
209,그냥 가볍게 보기엔 어려울지도 작품성은 뛰어남 ,10
210,역시 조던 필 감독 특유의 몰입도 높은 연출력이 좋았다. ,8
211,상징성과 은유를 차치하더라도 영화 자체가 주는 재미가 있다. ,9
212,쫄보도 볼 수 있는 긴장감 ,7
213,코스믹 호러를 좋아하는 분들이라면 추천드리고 싶습니다.조던 필 감독은 단순히 무서운 UFO영화를 만들고 싶었던게 아니라영화의 시작점 부터 지금까지 뿌리내린 무심코 지나치며 소모되는 사람 그리고 동물들에 대해서도 보여...,8
214,놉! ,4
215,sf와 공포를 섞은 조던필만의 개성이 돋보이는 작품. 기괴하고 색다르다. ,7
216,평가가  엇갈리는 것 같은데 저는 매우 흥미롭고 시각적으로도 뛰어난 작품이라 만족스러운 감상이었습니다. ,8
217,우선 크리스토퍼 놀란 감독의 작품을 제외하면 국내에서 상영한 상업영화 가운데 가장 많은 분량의 풀-아이맥스 확장비(1.43:1)를 채택했다. 고로 용산 아이맥스관에서 관람하는 경우 대화면이 선사하는 압도적인 몰입감을...,7
218,뭐라 딱 표현하기 어려운 요상한 영환 ,7
219,"색다른 상상력에 박수를, 영화적 재미에는 아쉬움을 ",7
220,뭐가 난해하다는건지 모르겠네.. 그냥 생각 없이 볼만한 sf 스릴러물 ,9
221,은유와 함축으로 가득한 조던필만의 새로운 공포세계. 보이는 이면만으로 이 영화는 다가 아니다. ,8
222,조던필 더 커지고 거대해졌다 ,10
