,Review,Rank
0,가슴이 웅장해진다 미스터문ㅜ 성공했다 ,10
1,생각보다 재밌게 봤네요. 개인적으로 조니 음악과 마지막 곡이 제일 좋았어요. 의외로 감동포인트도 있네요. 눈물 찔끔ㅠ 한 번 더 보고싶어요. ,10
2,개인적으로 1편보다 더 좋았음.. 노래도 영화에 어울리게 선곡 잘한 것 같아요! ,10
3,아침 조조로 봤는데 이번편도 재밌네요 노래도 좋았다 ,10
4,전편보다 훨씬 발전한 2편. 노래 진짜 좋음. ,8
5,느슨한 영화계에 긴장감을 주는 영화 ,10
6,시간가는 줄 모르게 관람했어요. ,9
7,믿고 듣는 씽! 노래가 너무 좋아요 ,10
8,내용 노래 감동 최고네요~ ,10
9,아들과 너무 재미있게 봤습니다 ,10
10,"뻔한 이야기지만, 남녀노소 할 것 없이 즐거운 시간을 시간을 선사해주는 흥겨운 애니메이션, 왠지 모르게 뭉클한 것은 왜일까 ",9
11,입이 떡 벌어지는 공연 연출에 감탄했습니다. 새해 첫 영화로 최고의 선택이었네요. ,9
12,최고예요!!!! 진부하지 않아요ㅠㅠㅠ ,10
13,문버스터 고생했다..ㅠㅠㅠㅠ 너무너무너무 재밌게봤습니다 ,10
14,n차 관람 예정! 노래 듣다 울컥울컥 하는데 다 보고 나면 기분 좋아지는 영화 ,10
15,너무 신나게 본 영화에요! 노래가 아직도 귀에서 맴도네요! 소리 빵빵한 상영관 추천합니다! ,9
16,씽1보다 재밌었어요3도 나왔으면 좋겠어요 ,10
17,1편보다 좀 더 탄탄해진 느낌! OST가 좋아요~ ,9
18,마지막 장면 30분은 그냥 최고... 꼭 영화관에서 보세요 ,8
19,일루미네이션 최고의 음악영화 ,10
20,영화 보는 내내 즐겁다~♬♬ ,10
21,"음악 미쳤고, 딱 그 곳에 잘 맞고, 마지막엔 감동 까지, 영화 끝나고 박수치게 됨. 저절로, ",10
22,1편보다 더 좋았어요~ ,9
23,대박 존잼 노래겁나좋아 ,10
24,연기만 잘했다면 포르샤가 탑급주연 ,9
25,진짜 명작이에요 ㅋㅋㅋ 애니 보면서 오랜만에 감동을 느껴봤어요 ~ ,10
26,"화려한 콘서트에 초대 받은 기분, 즐거운 시간이었다. ",10
27,최고! 눈과 귀가 즐거운 영화 ,10
28,1편처럼 신나는 노래들의 향연 ,10
29,아침 조조로 봤는데 기대보다 재밌었어요 OST도 훌륭하고 개인적으로 씽1보다 더 재밌는 것 같아요 ,10
30,무조건 봐야하는 영화.. ,10
31,진짜 막판에  눈물나 혼났네ㅠㅠㅠㅠ 노래 너무좋아요   3도 나왔으면ㅎㅎ 1보다 재밌게봤어요 ,10
32,콘서트 온 기분!! 영화 내내 노래가 끊이지 않아 즐겁고 떼창하고 싶었음ㅠ ,9
33,"이렇게 고민 없이 러닝타임 내내 오롯이 즐길 수 있게 해 주는 영화가 필요했던 것 같다. 진짜 두 시간 내내 계속해서 흥얼거리고 신나고 (음악이 정말 한 몫함), 유치하다고 여기는 것들이 왜 꾸준히 사람들에게 힐링을...",10
34,노래들이 정말 너무 좋아요!! 타이밍 좋게 나오는 명곡들도 너무 좋고 새로운 노래들도 다 좋네요! 즐겁게 볼 수 있어요 추천합니다 ㅎ ,9
35,부담없이 즐길 수 있는 오락 영화라는 점에서 최고!! ,9
36,너무 감동이에요 노래도 연출도 ,10
37,어린이 영화여서 기대 안하고 봤는데 노래가 너무 좋아서 재미있게 봄 ,10
38,너무 재밌고요~ 노래 다양해서 보는데 지루하지 않았어요 최고에용!! ,10
39,귀호강이란 이런건가 ,8
40,노래가 너무 좋았어요. 편안하고 재미있게 잘 봤습니다. ,9
41,음악좋고 캐릭터들도 귀엽네요. ,9
42, 멋있는 무대와 신나는 노래로 즐기는 두시간:) ,10
43,스토리도 좋고 주제와 메시지도 좋네요. 템포를 잘 조절한 구성과 전개도 좋아요. 신나고 즐거운 뮤지컬 애니메이션을 지루할 틈 없이 관람한 느낌입니다. OST는 그야말로 최고!!! ,10
44,<씽2게더>는 꿈을 향한 노력과 고뇌보다 낙관과 희망쪽을 택한다. 순수하고 착한 영화다. ,9
45,아이들과 봤는데. 1편 만큼 잼나네요^^ 노래도 좋고 ,10
46,"너무재미있습니다.어린이 ,어른 모두를아우를수있는영화입니다. 재미와.감동모두.걸작입니다 ",10
47,노래 너무 신나고 재미있어요 ,10
48,나는 1편보다 더 괜찮은 속편이었다고 생각함. 멋졌다. ,9
49,"아는 노래 나올 때 마다 부르고 싶었다,,휴 ",8
50,노래가 진짜 좋았던 작품이었어요 ㅎㅎ ,8
51,노래도 좋고 신나서 보는내내 좋았어요~ ,9
52,극장인데 공연 온 줄 ㅜㅜ 무대 장면들이 진짜 미쳤음 ㅠㅠ 돌비로 한번 더 볼 예정!! ,10
53,지루하지 않고 재밌게 봤습니다! ,10
54,"연기, 연출, ost 빠질 것 없이 재밌었고 좋았습니다. ",10
55,전편보다 나은 속편 애니메이션 무비 ,9
56,재밌어요~~ 눈과 귀가 즐거웠습니다! ,10
57,정말 재미있어요~추천합니다! ,9
58,너무 재미있게 봤어요ㅔ ,10
59,"보다보면 귀여워지는 캐릭터, 말할것도없이 음악는 최고 ",10
60,음악과 연출이 최고! 유명 배우들의 훌륭한 노래 실력까지- ,10
61,배우들이 노래를 너무 잘함.... 가수 아니냐고 ㅠㅠㅠ ,10
62,"1편보다 더 화려하고 감동적인 스토리, 노래도 다 너무 좋았다 ",8
63,코로나 이후 콘서트 못가서 우울하던 나에게 영화관에서 보여준 콘서트 ,10
