,Review,Rank
0,처음엔 조금 참고 봤지만 점점 어거지 개그. 스토리에 집중하니 겁자기 뮤지컬.. 끝까지 어거지 웃음 만드려는 억지연기들. 마지막까지….. 마동석보고 끝까지 봤지만 결국. 시간아까움. ,2
1,그냥 재미가 없어요 기대하지마세요 ,2
2,최근에 본 영화 중에서 가장 재미없어요.. ,1
3,?? 첫번째 평점 단 아가야 어디서 많이 웃고 그럼?? 얘들아 진짜 거짓말 작작좀 해라 이래서 네이버 평은 욕 쳐먹는구나.. 구라 정도껏 치차~ 할 짓 없나.. ,1
4,도대체 누가 재밌다고 한겁니까...계속 시계만 보고 뻔하디 뻔한 전형적인 한국 코미디..시계만 봤어요 언제끝나나 ,4
5,"코메디 영화인데 불구하고 웃음 하나도 안 나오고, 스토리마저 엉성한데 배우들 연기가 좋아서 더 안타까움. ",3
6,정말 흔해빠진 최악의 이야기;; ,1
7,성형이 제일 시급한 역대급 망작 ,1
8,도대체 어디가 웃음 포인트 라는건지 낚였네요ㅜ ,2
9,내 돈 내 시간 ,4
10,어떤 생각을 가지고 만든거지? ,1
11,웃기지도 않고 감동도없고 재미도없고 ,1
12,압꾸정....ㄹㅇ꾸정 ,2
13,이게 뭐지? 하는 영화..믿고보는 배우 마동석님의 연기력이 아까움.. ,2
14,웃음이 나오질 않는 코미디 영화 ,4
15,피식 조차 할 장면이 없다. ,4
16,코미디 영화에 뭘바라나 ㅋㅋ이정도면 편하게 잘 웃고옴ㅋㅋ ,10
17,마동석에 낚임 ,3
18,예고편을 너무 잘만들었네요 차라리 그것만 봤더라면 더 좋은 기억이었을듯해요 ,2
19,4점은 배우들에 대한 의리. ,4
20,영화 재밌게 잘 봤습니다 ,10
21,또 사람 때리고 패는 마블리가 아니어서 즐거웠다! 귀여운 마블리! ,10
22,영화관에서 보길 잘했다!!! 마블리 주먹이 아니라 마블리 유머에 뚜드려 맞은 기분ㅋㅋㅋ 최고 ,10
23,믿마영!(믿고보는 마동석 영화) ,10
24,"러닝타임 내내 쉴 새 없는 드립들에, 크고 작은 웃음으로 봄. 기분좋게 보고 나온 영화! ",10
25,기대안하고 봤는데 생각보다 너무 재밌어서 깜짝놀랬어요 ㅎㅎㅎㅎ ,10
26,오랜만에 마블리로 돌아온 마동석 배우님 영화 너무 재밌습니다! 꼭 보세요! 두 번 보세요!! 뭔 말인지 알지? ,10
27,코미디 영화임에도 웃기지 않았음 ,2
28,ㅋㅋㅋㅋ조폭아님. 형사아님. 시사회 통해서 봤는데 킬링타임용으로 재밌게 봤습니다! ,10
29,마석도 코미디도 잘하네? ,10
30,"동석이형님.. 액션, 코미디 못하는게 모야 ㅠㅠ ",10
31,마블리의 코메디는 항상 통한다. 억지 웃음 없고 스토리가 생각보다 짜임새 있었다. ,10
32,마블리표 코미디 너무 좋아해서 시사회 때 기대하면서 봤는데 생각보다 더 재밌었어요!! ,10
33,ㅋㅋㅋ 마블리와 정경호의 티키타카가 재밌었어요! 뭔 말인지 알지?ㅋㅋ ,10
34,정가주고 보기엔 좀 아쉬워용 ,6
35,꾸며준다더니 ㄹㅇ 웃음으로 입꼬리 리프팅 해줘버렸던...거짓말은 안하는 솔직한 형님... ,10
36,마동석 시원하게 조패는 영화만 재밌을 줄 알았는데 대사하나하나 찰지고 웃겨 미치는줄ㅋㅋㅋㅋ정경호 싹퉁바가지연기도 넘웃곀ㅋㅋㅋㅋ기대안하고 봤는데 넘 웃겨서 미친듯이 쳐웃음ㅋㅋ ,10
37,아 방금 보고왔는데 마동석 개웃김ㅠㅠㅠ썸남이랑 보는데 둘다 빵터져서 좋았움ㅎㅎㅎㅎ ,10
38,극장에서 아무 생각 없이 웃고만 싶은 사람에게 왕추천! 오랜만에 실컷 웃으면서 본 영화 최고! ,10
39,중간에 나갈뻔한거 마블리땜에 버티고 봄 ,5
40,생각 없이 봐도 보기 힘든 영화 ,1
41,영화 잘봤습니다 영화 잘봤습니다 ,8
42,역시 믿고보는  마블리 너무 웃겨요 ㅠㅠㅠ 출연진 합이 넘 좋은듯... ,10
43,울 똥석이형은 주먹만큼 입도 세네~~~^^ 가볍게 즐기기 편한 영화~!!! ,10
44,잘 되는 사람은 이유가 있음. 마동석은 직접 제작 하는 작품에서 더 빛나는 듯. 본인 캐릭터가 너무 잘 살아 나는 영화. 뭔 말인지 알지. ,10
45,생각보다도 많이 웃고나옴 역시 마동석 ,10
