,Review,Rank
0,밥 귀여워 ,10
1,중국자본 많이 들어갔다고 하던데 내용에 뚝뚝 묻어나서 좀 아쉬움 ,8
2,귀여운 캐릭터들의 귀환 ,10
3,기발한 상상력의 스토리와 귀여움으로 충만한 미니언즈의 활약을 앞세운 전개는 재미도 있고 짜릿한 감동을 선사합니다. 다만 너무 짙게 드리운 중국 자본의 중국풍 강조는 매우 거슬리네요. ,10
4,미니언즈는 귀여운데 중국 자본 들어갔는지 쿵푸 차이나타운 나오는게 별로였다. ,6
5,역시  실망시키지  않아주는  미니언즈  귀엽고  츤데레 ㅎㅎ ,9
6,귀여운맛에 재밌게봤습니다 ,9
7,중국적 요소가 재미를 망치다 ,6
8,제 친구닮았어요 미니언즈 ,10
9,미니언즈들이 ㅋ장 귀여워요 ,10
10,영화 잘봤습니다 영화 잘봤습니다 ,8
11,역시 귀여움이 세상을 구한다 >ㅁ< ,10
12,심장에 무리가는 최강 귀염둥이들 ㅠㅠ 러닝타임 내내 왜 내 입꼬리 내려가질 못하니.. 조카하고 한 번 더 봐야지 ㅠㅠ ,10
13,조올라 귀여워요ㅠㅠ 보는 내내 광대폭발..!! 귀여워서 팝콘을 먹을수가 없었다능 ㅠㅠ ,10
14,그냥 너무 귀엽고 사랑스러움ㅠㅠ 미니언즈 집에 데려가고 싶었다ㅠㅠㅠㅠ ,10
15,완전 귀여움 그냥 미쳤음ㅋㅋ!! 미니언들 깨알같이 외모랑 성격 다 다른게 진짜 킬포!!! 안끝났으면 좋겠다 했는데 끝나버림 ㅠㅠ 3시간짜리 만들어줘ㅠㅠ ,10
16,언제봐도 유쾌하고 즐거운 영화 미니언즈 ㅋㅋㅋ ,10
17,너무 좋아요 미니언즈! 마치 살아있는 것 같은 느낌적인 느낌~ ,10
18,갑자기 차이나타운 뭐임 이때부터 좀 재미없어짐 진짜 귀엽기만한 영화 ,5
19,미니언즈는 여전히 귀엽지만 중국자본으로 만든 영화인가 싶었음. 스토리는 완전 별로. ,5
20,"미니언즈, 오랜마니언! ",10
21,미니언즈 너무 죠아요 ㅠㅠ 개봉하자 마자 달려감 흑흑 ,10
22,애들이 좋아해서 간만에 10점 만점준다. ,10
23,미니언즈는 귀엽지만 너무 중국풍 ,4
24,그냥 미니언 ㅠㅠ 너무 좋음 너무 귀여움 ,10
25,미녕들 진짜 너무 너무 귀엽다. 2차 가야겠다 ,10
26,말 그대로 귀여움 한도 초과!! 역대급 귀여움! 올 여름 힐링무비로 제격 ,10
27,"느슨해진 애니메이션에 긴장감을 줄 정도로 너무 귀여워요 ㅠㅠㅠ 다양한 복장을 입은 민희언들...,,,한입에 넣고 와라ㅏ랑랑라아ㅏ 하고 싶어요ㅠㅠㅠ ",10
28,더 퉁퉁해진 미니언이 너무 귀엽네요 ,10
29,"너무 귀여운 미니언즈,, 보면서 자꾸 말을 따라하게 되네요 ㅋㅋ영상미도 좋고 지루하지 않는 액션까지 더해져서 재밌게 봤습니다. ",10
30,귀여움이 세상을 구하지 ㅠㅠ ,10
31,중국자본에 귀욤이들 뿌리기 ,8
32,여름하면 이제 미니언~! ,10
33,겁나재미있네 꼭보세요!! ,10
34,너모 귀엽다...마스크 속에서 광대 안내려옴ㅎ  계속 옷 갈아입고 나오는게 킬포... 내 원픽은 파일럿 복장 미니언> < ,10
35,Ost도 너무 좋고 미니언은 귀엽고 스토리는 유쾌해요 n차 관람 각! ,10
36,귀여운데... 실제로 샌프란시스코에 오래되고 엄청 큰 차이나타운 있는 것까지는 알겠는데.... 차이니즈 뉴이어는 너무했어... ,5
37,다된 미니언즈에 중국뿌리기 ,3
38,1점을 주기도 아까운 영화ㅡ(리뷰를 쓰기위해 어쩔수 없다는게 참..)코로나로 근처도 가지 않았던 극장가를 실로 오랜만에 찾았는데..정말 돈받고 보라해도 다시는 보지 않을 영화.. 들인 돈과 시간이 너무 아깝다ㅡ내용의...,1
39,캐릭터 믿고 너무 스토리를 막쓰는거아니요!?? 근데 나한텐 통하네.. ,10
40,"스튜어트랑 케빈 +4점, 밥 +4점, 중국자본 -4점 ",4
41,"스토리는 엉성하고, 개연성도 없고 중국풍으로 쳐발라놓기만함 ",2
42,중국자본이 들어가면 망한다 ,2
43,여름엔 미니언이지 ㅋㅋ너무 귀엽고 귀여워서 N차 간다 ㅋㅋ데이트 무비로 땋 ,10
44,스토리는 너무뻔하고 중국자본 뭍어나는게 심하네요 ,4
45,스토리는 볼거 없고 그냥 얘네들 오도방정 떠는게 귀엽고 재밌다. ,6
46,내가 기대한 미니언즈는 이게 아닌데... 귀여움만으로는 충족되지 않는 아쉬움이 가득! ,6
47,캐릭터랑 다 좋은데 갑분 중국이 좀 아쉽네요 ,6
48,미니언즈들은 당연너무 귀엽고 그루도 애기때라서 나름 귀여워요 근데 쿵푸나오고 중국설날 나오는게 좀 어색하긴하네여 미니언들 귀여운 맛으로 봤습니다 ,10
49,ㅤ ,4
50,"내가 미니언즈를 좋아하는 사람임에도 불구하고 이번 영화는 정말 최악이었다 스토리, 개그, 액션 뭐 하나 제대로 된 것이 없는 최악의 미니언즈 영화였다 ",1
51,미니언들 너무 귀여워서 웃느라 광대가 아프네요 2차관람 가보자고~!~! ,10
52,"미니언즈들의 활약은 귀엽고 재미있었는데, 역시나 전체적인 스토리는 너무 억지스럽고 마구잡이식 끝맺음이라 아쉬웠다.목걸이의 기능을 초반에 제대로 설명을 안해주고 막판에 그렇게 지 하고싶은대로 다 되게끔 설정하면 노력해...",6
53,por favor~~ ,10
54,짱깨머니 투자의 최후 ,5
55,초반용대가리부터의심이갔음 차이나파워 ,4
56,캐릭터들이 귀엽습니다. 스토리는 다소 부족 ,6
57,개재밌다 올해 본 영화중에 젤 재밌음 ,10
58,미니언즈 귀여운맛에 보는거긴하지만.... 1편에비해 아쉽... ,6
59,재밌네요!! 그냥 아무생각없이 봐도 재밌어요! ,10
60,스토리는 진짜 별게없고 그냥 캐릭터만 귀엽습니다.. ,3
61,중국의 대외홍보용이라는 느낌이 안 드는 건 아니지만 귀여움이 다 했다. ,8
62,미니언즈1에 비해 스토리는 빈약했고슈퍼배드에 비해 액션과 볼거리는 반도 안나왔다이전 기발하고 웃겼던 그루의 아이템들도 없어서 좀 지루했음 ,6
63,역시 미니언즈는 병맛이지!!이 맛 어디 안갔어~~ ,10
64,케빈 스튜어트 밥 오토 모두 귀여워요 ,10
65,미니언즈에 스토리 논하지마세요 그들은 귀여운 것으로 다 했습니다 ,7
66,캐릭터 귀여운게 전부인.. ,6
67,1편 보다 더 귀여워져서 돌아왔지만 미니언즈의 분량은 많이 줄어든 것 같아 아쉬웠다 거기다가 악당들도 숫자만 많고 매력적인 캐릭터는 찾아보기 힘들다 ,6
68,넘 귀여워요 특히 밥ㅋㅋ ,10
69,킹밥 사랑해! 보기만 해도 힐링된다 .. 미니언즈 키우게 해주세요 ㅠ ,10
70,정말 너무너무 귀엽고 유쾌하다! 중간중간 중국색이 좀 짙어서 갸우뚱하긴 했음 ,6
71,중국자본이 묻었는지 ㅋㅋㅋ 사건해결에 쿵푸를쓰네요 ,6
72,애랑 애친구랑 방학맞아 조조관람으로 추천. 아이들 보게하고 엄마들 티타임. 모두가 즐거운 영화. 초딩도 엄마도!! ,10
73,부족한 스토리를 귀여운 캐릭터로 커버치려고 해도 부족하다.. ,5
74,"조금 유치하지만 뭐 어때. 그게 미니언즈의 매력인걸. 쿵푸 부분은 좀 들어냈으면 어땠을까 하는 반발심. 어쨌든 나 이제 밥, 스튜어트, 케빈, 오토는 구분 가능해졌다는! ",6
75,그냥 재미없어요 돈 아까운 수준 ,3
76,캐릭터도 너무 귀엽고 재밌네요!! ,10
77,미니언즈 시리즈는 다 봤는데 이번 편이 통틀어서 젤 귀여움 완전 미침 ㅜㅜ ,10
78,미니언즈들 너무 귀여워요ㅋㅋㅋ슈퍼배드 등장인물들 나온 것도 좋았어욕 ,10
79,"미년들ㅠㅠㅠ왜 이제야 온 거... 오랜만에 1편 다시 보고 봤는데 ㄹㅇ 스토리 엄청 다채로워지고,, 새로 등장하는 오토도 너무 귀엽고,, 진짜 세상을 누비는 미니언들ㅋㅋㅋㅋ 시간 가는 줄 몰랐네요 짱잼 ",10
80,그냥 계속해서 존나리 귀여운데 뭘 더 바라겠어ㅠㅠ 졸귀탱 진짜 ,10
81,미니언즈 귀여운거 못참지.. 존잼 !! ,10
82,애들 데리고 재미있게 잘 보겠습니다. 나중에 모든것이 추억이 되겠지요.. ,10
83,영화보는 내내 미니언들 목소리에 너무 웃고 새로운 캐릭터들도 귀엽고 영상미도 최고!! ,10
84,방학 맞은 애들 단체관람을 피해야 합니다 ,10
85,이거 그냥 귀여운 걸로 날로 먹으려고 하네.. ,6
86,미니언즈 너무 귀여워요다른것은 모두 좋았는데 중국 자본이 많이 들어간것 같아서 아쉽네요 ,7
87,밥이 너무 귀여웠던 영화 ,10
