,Review,Rank
0,박희순 배우 뭐라하는지 잘 안들림 ,6
1,대사가 잘 안 들립니다 ,4
2,한국 영화도 한글 자막이 필요합니다. 배우들의 대사 전달력이 안좋은건지...음향팀의 문제인건지... ,7
3,딴건 다 둘째치고 대사가 안들렸어요.. ,6
4,보다보면 이거 어디선가 봤는데 하는 느낌이 많음. 영화가 기승전결이 있어야 하는데 기승기승하다가 갑자기 결로 끝남 ,6
5,"조진웅, 최우식 호흡이 너무 좋다. 특히 최우식 경찰역할도 꽤 잘어울리는듯 ",10
6,음향 문제인지 대사가 안 들림... ,7
7,흔한 권선징악 장르인줄 알았는데 생각보다 묵직한 영화다. 각 캐릭터의 관계성 설명을 위해 다양한 인물들과 이야기가 등장하는데 몰입력있게 잘 끌고가서 막힘없이 볼수 있다. 최근 말랑한 최우식 모습에 익숙해져 있었는데 ...,10
8,이 배우들 데려다가 이 돈 쓰고 이렇게 못 만들기도 쉽지 않은데 그 어려운 걸 해 내는 감독…. 대본 촬영 음악 편집 총체척 난국임. 진심 영화 유튜버 보다도 못 만든 영화. 실미도 이후로 이렇게 촌스러운 영화 첨 ...,4
9,자막이 필요한 영화였습니다. 대사가 많은 부분 안들렸어요 ,6
10,박희순 배우님 그렇게 좋은  목소리를 음향편집이 망친듯 사운드 때문에 이렇게 별점 테러당하다니 좀 안타깝다 나름 한국 느와르물 평타는 쳤는데.. ,10
11,초반엔 몰입감도 좋고 괜찮았는데배우들이 옛날 열혈만화 주인공같은 대사를 치기 시작하면서 중반부부터 힘이 빠지더니결말까지 힘들게 도달했지만 힘이 빠져 이상한 곳에 도착한 느낌 ,4
12,관객의 피 같은시간 ,5
13,조진웅 연기 잘하네 역시 ,8
14,분명 한국영환데 대사가 잘 안들랴서 아쉽네요 ,3
15,조진웅 배우님이랑 최우식 배우님 둘의 케미가 너무 좋았습니다! 지루할 틈 없이 재밌게 봤어요:) ,10
16,아 ㅋㅋ 나만 대사 안들린게 아니었구나 처음에 대사 안들려서  내귀가 이상한가 그생각 하고 있었는데 영화는 재밌게 잘 봤습니다 ,8
17,평점 이렇게 낮을 건 아닌 듯 재밌음 ,10
18,별로 기대않고 봤는데 진짜 러닝타임이 짧게 느껴질 정도로 긴박하고 재미나게 봤음 ,10
19,음향문제 나만 그런건 아니군요 ,4
20,"억지스러움, 무개연성, 노공감 등등 총체적 난국이었음.그럭저럭 볼만은 하나 그건 내가 극장에 앉아 있었기 때문이지 집에서 vod로 봤다면 초반에 바로 포기했을거임. 어떻게 최우식을 데려다 발연기처럼 연출할 수 있는지...",3
21,뭐 어쩌라는 건지 모르겠는 영화 ,4
22,그래서 말하고자 하는 게 뭐임?? ,3
23,좋아하던 배우들도 이 영화에서는 밋밋해짐 ,4
24,박희순 최우식 조합? 일단 말모 바야댐 ㅠ 수트핏 오져벌였다??? ,10
25,대사가 안들린다. 원래 딕션안좋은 배우들이아닌데 ,7
26,넷플릭스가 자막다는게 괜히 다는게 아니구나 ,6
27,조진웅 배우의 연기력이 극을 지루하지 않게 만들어 준다.최우식 배우도 배역을 훌륭히 해낸다. ,6
28,"조진웅, 최우식, 박희순의 연기가 최고임. 거기다 스토리와 연출까지 완벽. ",10
29,최우식의 다른 면을 보여주는 영화네요 조진웅 연기도 좋았어요 ,8
30,다시 봐도 재밌네요! 모든 관계가 팽팽하게 그려져서 긴장감있고 재밌는것 같아요 그리고 배우 연기 진짜최고 ,10
31,그냥 재밌게 볼만한 영화임.  액션 좋아하면 8.0 이라고 생각하고 보셈. ,10
32,나만 배우들 딕션이 안 좋나 했는데 평점보니까 다 그러네 배우들 연기는 좋았는데 몰입이 안된달까 스토리도 엉성하고 전형적인 배우만 좋은 삼류영화 느낌 ,5
33,최우식 배우와 조진웅 배우 케미가 너무 좋다. 최우식 배우 경찰 역할도 너무 잘 소화해내고 2시간 동안 시간 한번도 안 볼 만큼 몰입도는 최고다. ,10
34,"조진웅, 최우식, 박희순을 비롯한 배우들의 연기가 좋았고 현실과 허구가 뒤섞인 스토리는 그래서 더 현실적으로 다가오네요. 살짝 루즈한 장면도 있었지만 박진감 넘치는 액션도 좋았습니다. 후속편을 기대해봐도 좋을 듯. ",9
35,대사가 너무 안들려요 ㅠㅠ ,6
36,초중반은 흥미롭다가 후반은 제멋대로 ,5
37,영화 경관의피 최우식 좋아요 ,10
38,벤츠 S클래스 광고 영화 ,6
39,대사가 잘 안들려서 전후대사로 대사를 추측하는 경우가 많았음 ,7
40,"나영민, 차동철, 야쿠자 악당들 설정은 좋은데 내용비중이 너무 조진웅, 최우식한테 치우쳐져있는거 같음. (주연이 5명인데 나머지 3명은 조연같은 주연)그리고 설정만 좋지 그에 대한 내용을 너무 축소시킨거 같아서 초스...",6
41,역시 내 귀의 문제는 아니였다 ,5
42,"인물 관계가 확실하지 않은 것 같다.악역인 것 같으면서도 악역이 아니고,, 애매한 관계... 극장 나오면서 내가 뭘 봤나 싶었음 ",7
43,최우식 배우님이 생각보다 어색하다고 생각이 들었다. 연기를 못한다기 보다 역할이 안어울리는 느낌. 그리고 스토리가 생각보다 이해가 잘 안됐다. ,5
44,나만 잘 들렸나... ,8
45,대사가 안들려서ㅜㅜㅜ나도모르게 자막찾게되는...부디 나중에 넷플에 꼭들어왔으면...! 최우식은 볼때마다 발전해있는거 같다 ,7
46,배우들이 아니었으면 보지 않았을 영화 ,6
47,넷플릭스로 보면 자막이라도 달고 볼 텐데 말이야 ,5
48,재밌는데 대사가 잘들리든말든 자막이 있었으면 좋겠어요 ,10
49,"음향문제 너무 심한데,,, ",5
50,생각보다 사운드+배우들 연기 합이 찰떡이라 좋았음. ,9
51,"진짜 아무런 기대없이 봤음, 스토리도 조금 읽어보기만 하고 그냥 봤어요… 명품배우분들 연기는 당연히 말이 필요없었지만 발음이 생각보다 잘 안들렸네요. 전체적인 스토리는 알겠으나 최우식 아버지 죽음과 조진웅이 속한 배...",6
52,거를 타선 없는 영화 배우들 연기 지림 ,10
53,조진웅은 거의 이런 장르에 특화된 사람.. ,7
54,배우들연기와 연출이좋았습니다! ,10
55,전개도 빠르고 연기도 좋고 재밌음!! ,9
56,대사전달을 방해하는 사운드가 아쉽고마지막10분의 지저분한 결말이 영화를 망친듯 ,5
57,박강윤 : 사실을 알려주면 감당할 수 있겠나?관객 : 아니 그 사실이 제대로 들려야 말이죠 선생님 ,3
58,재밌게 봤습니다. 중간에 짧은 시간에 너무 많은 내용을 우겨넣은 듯한 부분이 있었지만 캐릭터들도 좋았고 중간중간 쉬어가는 타임도 재밌었습니다.무엇보다 처음엔 안 어울릴 줄 알았는데 조진웅님 최우식님 캐미가 엄청나네요...,9
59,우식이.. 수트.. 하오츠.. 연기력 맛집이다 여기.. ,10
60,대사가 잘 안들려서 집중력이 흐트러지고 몰입도가 떨어짐 ,5
61,음향감독님 휴가다녀오셨나요.. 배우들 대사치는데 소리가 뭉개지고 거리감까지 느껴집니다. 이렇게 뭐가 안들리는 영화는 간만이네요. 시각적으로는 워낙 멋진 배우분들이 많이 나오니 만족스럽긴했지만 이건 뭐 듣기평가도 아니...,8
62,최우식과 조진웅의 연기가 괜찮았습니다. ,7
63,재미있다 재미있다 ,10
64,웅얼웅얼웅얼... ,6
65,혹평에 비해 볼만은 한데요. 배우 몇 빼고는 대사가 다 씹혀요. 자막을 달아주세요. ,6
66,영화는 괜찮았는데 대사가 잘 안들려요 ,8
67,모든 캐릭터마다 아쉬움이 있네요 ,5
68,"신봉선의 대사가 생각난다.""머라 쳐 씨부리샀노?"" ",6
69,배우들 진짜 뭐라는지 1도 모르겠다... ,6
70,그럭저럭 그저그런 밍숭맹숭 ,5
71,누가 재미없다고 함.괜히 후기보고 갔다가 재미없는거라는 선입견 때문인지 더 재밌게 보고 옴오히려 좋아~~~ ,10
72,자막이 필요한 영화 그리고 연기를 못하는 배우들이 아닌데 연기가 어색해 보인다 ,4
73,무슨 문제인지 모르겠지만 대사가 잘 안들리니까 영화에 집중이 안 됩니다. ,6
74,사운드가 전체적으로 조금 아쉬웠어요. 배우들의 연기는 너무 좋았는데 그에 비해 각 캐릭터들의 매력이 잘 살지 않은 것 같아 아쉬워요.. ,7
75,긴장감도 없고 배경음악도 따로놀고 스토리도진부하고 ,2
76,대사가 잘 안들려요.. 사운드가 이상한건지.. ,4
77,이제 한국 영화도 자막은 선택이 아닌 필수 ,5
78,우리말인데도 대사가 잘 안들렸어요. 언더커버류 좋아하면 재밌게 볼 듯 해요 ,8
79,뭐라는지 안들려요 ,4
80,뭘 담고 싶은지 조차 모르겠는 영화 ,3
81,"탄탄한 원작, 믿고보는 배우!!!! ",10
82,대사가 잘 안들려서 몰입이 좀 깨져요~ ,8
83,"대사 전달의 아쉬움, 스토리의 극적 전개가 뭔가 이상한 느낌 ",6
84,대사 좀 어떻게… ,5
85,캐스팅보고 진짜 기대 많이 했는데 대사전달이 너무 안됐습니다 ,5
86,"우리나라 그 음향감독이 파워가 약해서 녹음 제대로 못한다는 얘기가 있던데, 이게 바로 그 예시가 되지 않을까... ",6
87,대사가 잘 안들려서 좀 힘들었습니다.. ,7
88,스토리를 이해하는데 조금 골치아플수있습니다 ,6
89,다소 이해하기 어려운 전개... ,7
90,뭐라고 떠드는지 하나도 못알아 먹겠다 ,3
91,그냥 그저 그런... 집에서 봐도 될 영화 ,6
92,올해 영화관 가서 관람한 첫 영화인데 추천하고 싶네여 ,10
93,진짜 재밌어요 꼭 보세요 그리고 최우식 배우님 연기 진짜 좋았어요! ,10
94,"조진웅의 연기는 두 말 할 나위 없고, 대사들도 하나하나 무겁게 느껴졌어요. 최우식의 이런 역할도 역시 잘하네요. 최고! 다만, 박희순 배우님 대사만 묻혀버리는데 박희순 배우 연기할때만 음향이 왜 이모양인건지;; 분...",7
95,조진웅이 다 캐리했다고 생각함. ,8
96,괜찮네요 대사만 잘들리면 ,10
97,킬링타임용으로 재미있게 봤습니다그런데 대사가 안 들리는 부분이 있어서.. ,7
98,최우식 배우의 영화가 궁금해서 봤습니다.예상이 가는 스토리였지만 배우분들의 연기력이 뛰어나 보는 재미가 있습니다. ,8
99,"출처불명의 막대한 후원금을 받고 고급 빌라, 명품 수트, 외제차를 타며 범죄자들을 수사해온 광역수사대 반장 강윤의 팀에 어느 날 뼛속까지 원칙주의자인 신입경찰 민재가 투입된다. ",10
100,조진웅 존멋임 브로맨스 ,10
101,예상 가능한 스토리에사운드의 문제로 잘 안들리고생각보다 실망 ,6
102,"내용은 무난하긴 했는데, 오디오 믹싱이 잘 안되었는지 대사가 좀 안들리는 부분이 많았습니다. ",7
103,대사가 잘 안들려 몰입이 떨어지는 .... 조진웅배우님의 연기는 최고! ,6
104,내용이해하기 어려웠어요ㅠㅠ 아쉬워요 ,6
105,대사가 안들리는데 음향 어떻게 된거냐고요ㅠㅠ ,6
106,자막이 필요한 한국영화.. ,5
107,"생각보다 재밌었던 범죄 영화로 조진웅, 최우식배우의 연기가 특히 좋았음. 아쉬웠던 것은 대사가 잘 이해 안될 정도로 녹음 상태가 안 좋았음 ",7
108,영화의 최대 단점 : 대사가 잘 안들림 (그나마 사운드 좋은곳에서 봐야 볼만함) ,7
109,배우들 딕션이 안좋았다.. 잘 안들림 ,6
110,뭐라고 하는지 모르겠다. 그리고 배우들이 아깝다. ,6
111,대사가 잘 안 들려서 몰입감이 저해됨 ,7
112,스토리랑 연기 연출 빠짐없이 다 좋았음 중간중간 소름 끼치는 부분까지 있는 영화 ,10
113,다들 대사 얘기 하는데 정말 심각하게 안 들리긴 했음 ㅠㅠ ,7
114,대사들이 너무 올드해요 ,4
115,사운드가 많이 아쉬워요. 볼만했습니다. ,5
116,생각보다 긴박감 있게 영화 스토리가 진행되어서 너무 좋았습니다. 예측했던 스토리와 인물이 아니어서 재밌었습니다. 다만 배우들 대사가 자주 안 들리는 경우가 많아 아쉬웠습니다.. ,7
117,각자가 가진 신념의 싸움. ,7
118,"초반에 박희순님이 뭐라하는지 못 알아듣겠고, 처음부터 끝까지 인물들의 동기가 부족하게 느껴진다.  어설프지만 다음편도 관람할 것 같은 영화 ",6
119,자막 넣어주세요 ,7
120,다른 것보다 배우분들의 대사가 안들릴 정도로 사운드가 심각했습니다. ,6
121,박희순 배우의 대사가 잘 안 들리긴 했지만 딱 킬링타임용으로 보기에 좋은 영화 같아요. ,8
122,한국 영화들은 왜 이러는건지... ,6
123,긴장감 있게 잘 보았습니다. 새로운 느낌의 경찰 영화라 더 새로웠습니다. ,10
124,조진웅 배우 멋있습니다. ,7
125,영화 내용은 나름 긴장감있고 배우들의 연기도 좋았지만 발음이 잘안들리는 점과 영화 내에서 다 보여주려하니 부족한 설명이 보였다 ,8
126,사운드 믹싱이랑 대사 전달력이 아쉬워요 ,6
127,음향이 심하게 울리네여 어떤느낌이냐면 집tv로 영화볼때 배우대사랑 배경음악이 따로놀듯 그런느낌이 심하게 듭니다. ,5
128,"약 10년 전에 닥치고 패밀리라는 시트콤을 즐겨봤었는데, 그 당시 신인이었던 최우식 군이 좋은 배우로 성장했음을 이번 영화를 통해  알 수 있었습니다. 조진웅, 박희순 등의 연기파 배우들의 열연은 뭐 말할 것도 없구...",10
129,우식이의 자연스러운 모습만이 감상포인트 ,7
130,그냥 재미가 없음대사도 안들림 자막 달아야 보기 편할듯배경음악이 영화랑 어울리지 못하고 따로 노는 느낌조진웅 연기만 괜찮았음 ,4
131,"내용이 조금 어려웠지만 주연배우들의 연기는 최고,, 한 번은 돈주고 볼 법 하지만 두 번은 그냥 티비에서 볼 것 같음,, ",8
132,영화관이라 대사가 울리는걸까요. ,7
133,박희순 배우님 대사가 안들려요ㅠㅠ ,6
134,대사가 안들려서 자막 필요 ,6
135,충분히 잘 만들 수 있을거 같았는데 개성이 부족하다 ,5
136,"역시 믿고 보는 배우들, 간만에 재밌게 봤어요! ",9
137,"생각보다 재미있었고 조진웅,최우식연기  굿 ",7
138,잘봤어요 ,8
139,경찰 느와르 장르의 새로운 도전 ,8
140,재미있었어요 잘 봤습니다 ,10
141,긴장감은 괜찮았는데… 사운드믹싱은 엉망이고 결론도 맘에 안들고.. ,7
142,초반부보다 후반부가 조금 쳐지고 대사가 잘안들리긴했지만 재밌게 봤습니다 ,8
143,오디오믹싱이 잘못된건지 특정 배우장면은 한국영화지만 한글 자막이 절실했다 ,4
144,나만 대사안들리는줄..ㅋㅋ ,6
145,저는 개인적으로는 잘 보았습니다. ,9
146,대사가 잘 들리지않습니다 스토리도 너무 구식이구요 최우식 얼굴만 보다 나왔습니다 박휘순배우는 많이 등장하지 않네요 ,2
147,대사가 너무 안들려서 자막이 간절히 필요했습니다... ,5
148,한순간도 간장감을 잃지않는 3배우의 조합~ ,7
149,"대사가 안들린다, 스토리도 딱히 신선한것도 없고 ",5
150,조진중 최우식 박희순....배우들 연기 볼만 했음!! 근디 사운드 믹싱이 잘못 되었는디 대사가 잘 안들리네요....별 하나 마이너스 ,6
151,오랜만에 보는 찐한 스토리와 연기력조진웅 배우와 최우식 케미 좋네요 ,10
152,배우들 때문에 본건데.... 지루하고 내용이 너무 뻔함 ,6
153,걍 그랫슴 ,8
154,진짜 잘 안들리긴 했음 ,4
155,배우들의 연기가 아주 좋습니다. 불한당 느낌도 좀 나고 암튼 재밌게 봤어요 ,8
156,아쉬운 부분들이 있었으나 배우들의 연기 합을 만끽할 수 있는 영화 ,7
157,사운드 안좋다는 이야기가 나오면 어케! ,6
158,속편이 기대됩니다 ㅎ ,9
159,오직 조진웅의 연기만이 빛나는 영화 ,7
160,시작부터 무슨말인지 못알아듣겠는데 연기는 잘해서 대충 눈치껏알아들었음….내용은 그냥저냥인데 연기는 다들 너무 잘하시고.. 오디오가 개판임…. ,6
161,굿 ,10
162,볼만했어요 2시간이 훅갔어요 근데갑자기 급마무리느낌은 좀 아쉽 ㅠㅠ ,10
163,배우들 연기는 괜찮았는데 내용이 전형적인 한국영화네요 ,6
164,뭘 이야기하려는지는 알겠다만 개연성을 이해하기 힘들게 마무리를 짓고있네요누가 누굴 이야기하는지 헷갈림 뒤로갈수록 뻔한이야기 ㅜㅜ 아~~~ 제작비 뒤로 갈수록 모자람~~아이고 소재  아까워라 ,4
165,마지막 스토리가 어떻게 흘러갔는지 잘 안 들렸어요 ,3
166,별 기대없이 보러갔다가 정말 재미있게 본 영화 ,10
167,배우들은 너무 좋은데… ,7
168,조진웅 님 연기는 처음부터 끝까지 너무 좋았습니다. 마지막 부분이 좀 이해가 어려워서 아쉽. ,10
169,조진웅너무멋있고..ㅠ스토리도 탄탄한편~~ ,10
170,조진웅과 최우식의 캐미도 좋았고 두분의 연기는 역시 최고였습니다. ,10
171,전체적으로 엉망인 사운드믹싱 속 빛나는 조진웅의 무게감. ,6
172,"많이 봐왔던 그 느낌의 영화, 음향과 대사전달 아쉬움 ",6
173,계속 서로를 의심하게 만들다 못해 보는 나까지 의심하게 되는 영화 조진웅 배우님과 최우식 배우님의 조합이 생각보다 너무 좋았음 ,8
174,경관의피 급하게 만든듯 ,5
175,그냥 조진웅 저 세글자 하나만으로 본 영화 목소리 톤과 그의 연기력은…뻔한결말 스토리 하지만 그걸 다 뛰어 넘은 연기력 ,8
176,박휘순 배우 대사 너무 안들려요 ,7
177,대사좀...영화도 그닥이었음. 배우들은 좋은데 ㅠㅠ ,4
178,나름대로의 긴장감도 있고 단순한 언더 커버의 이야기가 아닌 신념의 충돌이라는 주제가 흥미로웠다 ,6
179,"전반적으로 평탄한 스토리, 그리고 잘짜여진 카메라 기법으로 된 영화다. 그런데 대체 음향 상태가 왜 그런지 모르겠다....나쁘지 않은 영화 ",9
180,배우들이 연기를 너무 잘함 ,10
181,너무 많은 관점을 보여주려고 했다. 이야기도 많은데 관점도 다양하니 어지롭고 산만하다. ,7
182,올해 첫 액땜 영화 ,3
183,두분의 케미는 물론 스토리까지 완벽했다 ,10
184,부담스럽지않게 부담스럽지않게 보기 좋았어요 ,10
185,무슨내용인지도 모르겠고 대사도 잘안들리고 재미도없고 배우가 아까웠음 ,4
186,메시지가 있는 영화는 오랜만 ,10
187,"연기 뭐 말해뭐해, 긴장감 있는 연출b 갠적으로 아주 잼나게 봤음 ",10
188,연기 잘하는 배우들을 모아 놓고...연기를 못하는것처럼 보이게 만든 요상한 영화!!스토리는 난잡하고...당췌 뭐 소린지... ,2
189,나쁘진않은데.. 소리가 너무 아쉽다 ,6
190,더 좋아지려는 지점마다 기를 쓰고 틀어막는 무언가. ,5
191,조진웅은 언제나 믿고본다 ,8
192,자막이 필요한 핵노잼 국싼영화. ,1
193,내용이 너무 중구난방이고 집중이 안되네요 ,1
194,초중반에 지루했지만 후반부에 몰아치는 액션과 스토리로 긴장감 뿜뿜 ,6
195,강한 연기와 평범한 스토리와 약한 긴장감 ,4
196,범죄 영화 치고는 담백한 영화. ,7
197,기본적인 음향에 문제가 있습니다. ,5
198,대사가 잘 안들린 부분과 속편 예고는 아쉬웠지만 재미있게 관람하였습니다 ㅎㅎ ,6
199,"조진웅, 최우식배우의 연기합이 볼만은 한데 대사소리가 잘 안들리는게 아쉬움... ",8
200,호불호 많이 갈리더라고요..기대 없이 봐서 그런지~ 생각 보다 잼있었어요~ ,8
201,ㅤㅤ ,4
202,다 별루... ,4
203,이럴 거면 판권 왜 사왔나 싶은 각본.도저히 아무 것도 안 되어 보이는 후반.눈 풀린 배우들의 연기. ,4
204,잼나네요오요오요오요 ,10
205,대사 문제 좀 심각하게 고민해봤으면 좋겠네요. 자신 없으면 한국어 자막도 같이 넣어주던가요. ,5
206,소리가 잘 들리지 않았다 ,5
207,긴장감 있고 경찰이 언더커버로 잠입하여 경찰을 수사한다는게 재밌었습니다. 조진웅은 역시 경찰역이 찰떡이네요 ,10
208,배우들 연기는 좋았지만 음향도 그렇구 아쉬웠어요 ,6
209,원작이 있다는데 원작은 안보고 이것만 봤어요. 적당한 긴장감으로 집중을 잃지 않고 볼 수 있는 끌림이 있는 영화네요 ,8
210,배우들 발음이 문제인지 음향이 문제 인지 대사가 잘 안들립니다. ,7
211,한국영화인데 대사가 알아듣기 힘들어서 자막이 필요할 정도였음. ,7
