,Review,Rank
0,"소지섭의 재발견, 김윤진의 저력, 나나의 가능성 확인한 '자백' ",10
1,나나 이번에 다시 봤다.. 다시 봐도 예쁘더라 ,10
2,첨부터 끝까지 긴장감 넘치는 반전 스릴러...!! 원작 안보고 관람하는 것을 더 추천합니당 ,10
3,이건 꼭 끝까지 봐야지만 느낄 수 있는 짜릿함이 있는 영화! 영화관에서 보면 더 몰입이 가능 ! ,10
4,반전의 반전이 계속 되는 영화. ,9
5,처음부터 끝까지 집중해서 봤음 나나 이쁘다 ㅋ ,8
6,소지섭×김윤진 두 배우의 105분간 펼쳐지는 심장 쫄깃한 반전에 대반전을 제대로 선보인 웰메이드 스릴러! ,10
7,"나나가 진짜 예쁘다,,,,김윤진의 목소리 톤은 조금 어색함 ",8
8,몰입감 높고 재미있어요 ,10
9,김윤진배우 발음이 어눌함..집중안됐슴 ,6
10,원작의 숨멎급 스릴러를 시간순삭급으로 재현한 리메이크 ,8
11,두 주연배우 연기가 이상한 건 나뿐인가 ,5
12,스페인원작의 팽팽한 긴장감이 사라졌다 ,7
13,원작에 비해 연기 디렉팅이 아쉬웠어요 ,6
14,원작 보는게 나는 더 나은듯 ,6
15,와.. 반전..  나나 연기 생각보다 잘해서 놀랐네요. ,10
16,원작을 본 입장으로 원작이 더 좋다고 느꼈어요 그래도 원작 안 본 분들은 충분히 재밌게 볼 것 같아요 ,8
17,속도가 빨라서 지루하지 않아 좋았어요! 반전도 강렬했고 오랜만에 영화관에서 보는 정통 스릴러라 전체적으로 기분 좋은 영화 관람이었습니다 >< ,10
18,,10
19,원작이 있는 영화인데 아쉬운점이 많았다. 명작이라 불리기 힘들고 그렇다고 못만들었다고 부르기 애매한영화 ,7
20,원작에서는 느끼지 못한 그의 진술의 허술함.한끝 모자란 연기들과 마지막 폭발력을 떨어트린다. ,5
21,몰입해서 봐야하는데 옆에 아줌마들이 자꾸 지들끼리 추리하고 떠든다 ,9
22,흠... 그냥 원작 추천 ,6
23,대화와 과거 회상으로 주로 이루어졌는데 이렇게 쫄깃할 수 있다니! 유민호와 변호사의 보이지 않는 기싸움도 인상적이고 반전도 만족스러웠다. ,10
24,원작 인비저블게스트를 넘진 못하겠지만 ,6
25,제목 선정의 실수 ,5
26,나나 와…칭찬해주고 싶었다. 전직 아이돌 출신이라 기대를 내려 놨었는데…왠걸…이리 연기를 잘할줄이야! 숏컷으로 등장한 여자배우가 나나인지 모를정도로 넘 이뻐서 또 깜놀! 생각지 못한 이야기의 반전의 반전! 나나는 전...,10
27,훌륭한 리메이크.엔딩에서 한단계 추가한건 괜찮았다 ,8
28,"와 오랜만에 한국영화 재밌게 봤어요!! 다들 연기 너무 잘하는데 특히 소지섭, 김윤진 연기 진심 미쳤습니다...!!! 스토리도 흡입력 있어서 계속 집중하면서 봤어요. 기대 안했는데 반전을 예측하는 재미가 있었고 너무...",10
29,원작 보고 봤는데도 쫄깃하네요 막판에 반전 부분 연출이 정말 좋았습니다 배우들 연기도 진짜 구멍이 없어요 ,10
30,"원작 영화는 안 보고 봤는데, 반전 정말 재미있고, 배우들 연기 변신 좋음. 소지섭 변신 좋고, 나나 연기 특히 좋음. ",10
31,오랜만에 몰입감 있게 본 스릴러 영화에요 반전이 대박입니다 ,8
32,원작을 넘 재밌게봐서 어떻게 바꿨을지 기대했는데 재밌었어요 ,8
33,예상을 수십번 빗겨가는 반전의 연속 ,8
34,원작을 그대로 따라가면 평타는 쳤을테다 ,6
35,군더더기없어서 아주 깔끔했다. ,10
36,나름 괜찮은 영화 매우 흥미진진하다. 엔딩은 전형적일수 있지만 연출이 괜찮은듯! ,8
37,팝콘은 영화 시작 전 미리 먹는 걸 추천! ㅎㄷ ㄷ 쩔깃 스릴러 ,10
38,나한테는 그냥저냥이었지만 누군가에게는 취향 저격일 듯 ,5
39,친구가 원작보다 별로랴 ,6
40,원작이 낫긴  하지만 볼만함 원작 보지말고 봐야 잼남 ,7
41,재밌게 봤습니다 쫄깃하네요 ,10
42,원작을 봤는데 원작보다 훨씬 좋네요 스토리 구성이 더 탄탄하고 소지섭 배우 오랜만에 스크린 모습을 봐서 너무너무 좋았습니다 나나도 연기 참 잘하더라구요 차이가 극명하던… 아무튼 너무 잘봤네요 ,10
43,시간 가는줄 모르고 잘봤습니다 ,8
44,원작 영화와는 또 다른 매력이 있어서 좋았네요. 소지섭도 은근 이런 영화에 잘 어울린다는 생각을 하게 만든 영화입니다. ,8
45,근 5년내 본 상업영화중 1등 ,10
46,자백vs리멤버 ,8
47,원작을 알고 봐서 아쉬웠는지 ,6
48,그냥저냥 ,7
49,정말 오랫만에 보는동안 숨죽이게하는 영화를 보았네요뭐가 진실인지 보는내내 생각하게 하는 맛이 있었습니다. ,9
50,시사회를 통해 봤는데 진짜 시간순삭 웰메이드 영화는 이런것 ,10
51,"나나 연기 개쩌는듯,,, 추리하면서 보니까 전잼입니다 ",10
52,"원작 영화를 너무 재밌게 봐서그런지 살짝 아쉽다. 마지막에 억지로 살을 더 붙인게 좀..그래도 긴장감, 반전의 반전, 배우들 연기는 굿~~ ",8
53,"나나의 재발견, 자백 ",6
54,오 기대안했는데 생각보다 좋아서 놀람 ,10
55,김윤진 연기가 좀 노래 한 곡을 한 음으로 부르는 음치 가수 같은 느낌;; 소지섭은 평타 나나는 괜찮았다처음부터 흡인력은 몰아쳤는데 비밀이 너무 맥없이 밝혀져버려서 아쉽다 ,6
56,스페인영화가 원작인데 리메이크를 잘 한 거 같아요. 볼만 합니다. 사실 원작보다 스릴은 좀 덜합니다만. ,9
57,끝까지 재미있게 봤다.. ,8
58,원작에 손색없는 각색도 좋았고 배우분들의  연기도 좋네요 ,10
59,몰입력은 높지만 원작에 비해 힘빠지는 마무리가 아쉽다. ,6
60,꼭보세요 재밌어요 ,10
61,"원작도 재밌고, 리메이크작도 우리 현실에 맞게 각색이 잘 되었네요. 결말은 리메이크작이 더 낫습니다. ",7
62,나나 자체발광 ,9
63,"원작이 더 제 취향에 맞지만, 원작 안 봤던 분들에게는 자백 추천합니다. ",9
64,반전의 반전의 반전 완전 흥미로웠어요 ,9
65,원작 안 보고 보길 잘했다는 생각이 들어요! 재밌게 잘 봤습니다! ,9
66,설경만 좋았다 ,5
67,리메이크 영화라 오리지널을 먼저 본 관객은... ,8
68,원작을 본덕에 몰입감이 덜해짐... ,6
69,모처럼 양질의 재밌는 한국영화를 만났습ㅣ다 ,10
70,저한테는 반전이 조금 뻔했습니다. 그래도 스릴 넘치고 재미있게 볼 수 있는 영화입니다. ,9
71,사건의 재구성. 간만의 쫀쫀한 스릴러 ,10
72,잘 만든 리메이크 영화 입니다. 연기도 다들 훌륭하네요. 분위기도 좋고 감독 연출이 좋네요. ,9
73,속고 속이는 진실 게임 속 소름 돋는 김윤진의 연기 ,7
74,원작의 스토리라인을 따라가다 마지막의 한국의 사정에 맞게 잘 비틀었다. 덤으로 배우진의 연기력까지 ,10
75,원작 기억이 흐릿한 점도 있겠지만..  리메이크도 꽤 재밌는.. 특히나 나나 미모는 정말... ,7
76,김윤진씨 연기가 영 별로... 와 닿지가 않음. 좀 어색하다고 해야하나. 너무 뻔한 반전도 영화의 재미를 반감.. 중간에 나갈까 고민했어요. ,6
77,자백 영화 잘 봤습니다~! ,8
78,정말 잘 만든 느낌은 맞는데 무언가 원작에 비해서 막판 마무리가 조금 아쉬웠습니다. 하지만 그래도 마지막만 제외하고는 리메이크 잘 했다고 생각합니다 ,8
79,올해 최고의 영화.뒤를 알 수 없는 긴장감과 즐거움 ,10
80,배우들의 연기가 훌륭한 영화 ,10
81,몰입되요 재미있너요 ,8
82,반전반전반전ㅋㅋ 볼만함.. 연기하는 나나가 좋음 ,7
83,나나 연기력 실화냐? 깜짝 놀람. ,8
84,다른분들이야 워낙에 베테랑분들이시고 나나씨가 이렇게 연기를 잘하는줄 몰랐네요. 영화자체는 볼만한정도인것 같습니다. ,7
85,큰 생각없이 본거였는데 생각보다 긴장감있고 흡입력도 좋아서 몰입해서 재밌게 봤어요 ! ,8
86,적당히 긴장감 있게 잘봤습니다 ,8
87,끝까지 긴장감이 유지되는 영화입니다 재밌어요 ,8
88,소지섭 간지에나나의 이쁨이쁨에김윤진의 연기력이란 와아아아 ,8
89,정신 차려보니 영화가 끝남. 집중하게 되는 영화 ,10
90,제 점수는 10점입니다. ,10
91,진실을 모를 때 가장 흥미로운 슈뢰딩거의 추리물. ,5
92,소지섭의 재발견 ,8
93,소간지와 김윤진의 연기가 빛이 났다. 반전에 반전을 거듭하고 은근한 긴장을 멈출 수 없었다. 수작이라고 할 수 있으려나 이 정도면. ,10
94,간만에 재밌게 봤습니다 어우 긴장감이 ,10
95,처음부터 끝까지 쫄깃함을 놓칠 수 없는 영화 너무 재밌었어요 ,10
96,반전의 반전의 반전! 영화보는 내내 숨죽이며 봤어요 재밌었습니다 ,8
