,Review,Rank
0,영화이름 끝자리를 발로 바꿔야할듯 ,3
1,배우들이 아까움... 감독이 이것저것 자기 눈에 멋있어 보이는 것만 끌어와서 기워낸 느낌. 합치니까 재미도 감동도 멋짐도 다 망함. ,3
2,막상 중요한 소재처럼 느껴지는 소리폭탄은 허무하게 활용될뿐.. ,5
3,영화보면서 눈정화 하기는 처음ㅋㅋㅋ배우들 조합이 아주 그냥 미쳤음 ,10
4,이건 꼭 극장에서 봐야하네요 스케일 액션 펑펑 터지고 스토리까지..  김래원 이종석 연기 진짜 잘하고 차은우 존잘 ,10
5,"긴장감 미쳤음 후반부 너무 먹먹해ㅠㅠㅠㅠ 이름값하는 김래원 비주얼파티 연기까지 잘하는 차은우 이종석, 수트 입은 박병은 무게감까지 재밌음 ",10
6,이종석 연기 좋았어요! 차은우 존잘인데 이번에 연기와 눈빛도 좋았습니디. ,8
7,일단 배우 캐스팅만으로도 큰 스크린에서 볼 가치가 충분하다고 생각. 사운드나 액션까지 받쳐주니 무조건 극장에서 보길 잘한 작품!! ,10
8,연기 대박이고 몰입하느라 시간 가는 줄 몰랐음 그리고 안구정화되는 느낌… ,10
9,"김래원, 이종석 신선한 조합이었습니다. 눈호강 제대로 했어요 ㅎㅎ ",10
10,전체적으로 재미있다 긴장감 스릴 유머 그리고 슬픔까지 배우들이 연기를 너무 잘해서 더 좋았던것 같다 그리고 잠수함 부분이 너무 좋았다 이종석 ㅠㅠ ,10
11,"제목이 데시1벨 인데 잘 활용하지 못한 것 같습니다. 이것저것 다 섞인 양산형 한국 영화. CG도 별로고, 뭘 표현하고 싶은 건 지 모르겠고, 의도적으로 그런 건지는 모르겠는데 대화 하는 사운드가 다 뭉게져 있어 무...",1
12,아...이 개연성 1도 없는 전개...배우들만 고생하네... ,6
13,꼭 이렇게 만들어야만.. 속이 후련했냐!!!! ,4
14,시간은 급박한데 긴장감이 없네 ,6
15,전반적으로 아쉬운점이 많이 보이네요 ,5
16,정상훈 배우가 맡은 역의 유머가 좀 붕 뜨는 느낌을 받았고 이외에 몇몇 아쉬운 부분들이 있으나 시간이 잘 감 ,5
17,다소 억지스러운 설정과 뚝뚝 끊기는 스토리 전개가 몰입감을 너무 방해한다 ,4
18,배우믿고 대충만드네 ,6
19,초중반 쫄깃쫄깃 긴장감 넘치고 마지막에는 감동과 여운이 느껴지는 영화! ,10
20,김래원 제복핏에 감탄하고 좀있다 이종석 나오면 또 감탄하고 차은우 나오면 또또 감탄하고.... 캐스팅 최고에요! ,10
21,다 슬픈데 이종석의 감정선이 너무 슬픕니다. 이해가 가네요.. 초반에 단발머리하고 연기 정말 빅마우스는 저리가라네요. 자기겪은일을 이야기하는데 그 감정이 너무 잘느껴져요. 정상훈이 마지막에 한 선택은 너무 고맙더라구...,10
22,그냥 저냥 했네요 ,5
23,"연출이 너무 촌스러운 거에 비하면 스토리는 꽤 괜찮다. 만듦새는 솔직히 부족함이 많은데 철학적인 관점으로 담아낸다는 것만으로 생각할 게 많다. 배우들 연기도 나쁘지 않았고, 사실 장면마다 약간의 아쉬움은 있는데 캐릭...",8
24,데OO이 아니라 더OO.씨발도 아니고 OO도 아니고 OO이 욕이라고 글자가 안쳐지네.미친 네이버 영화판...OO은 욕이라고 안쳐지는데 씨발은 왜 쳐지냐?미친 네이버 영화판 운영자야 ,4
25,뭔개 재미있는듯 재미없는.. ,6
26,감상포인트를 선택해야 하는데 어떤 걸 선택해야 할지 몰라서 잠시 고민함.배우들 얼굴 보고 제복입은 모습도 보면 될 듯. ,4
27,배우들이 아까워요.. ,4
28,음 애매하다 애매해 ,6
29,이종석이 분노를 표출하는 대상과 방향이 보기 불편할 정도로 엉성함 ,4
30,천안함 장병분들께 다시 한 번 삼가 고인의 명복을 빕니다. 생존자 분들께도 편안이 오기를 바랍니다. ,7
31,영화는 고만고만 하지만 이종석의 연기 스펙트럼에 크게 놀랬다. Vip 때부터 느꼈지만 악역이 정말 찰떡같이 어울리는 미형의 남자배우는 흔하지가 않다. ,7
32,김래원 이종석 연기 미쳤고 소음에 반응하는 폭탄이어서 그런지 영화관에서 봐야함..그리고 해군제복입은 이종석? 당장보러가 거기에 차은우? 진짜 지금 당장보러가 눈이 너무 즐거움 아 그리고 차은우 연기 늘었더라.. ,10
33,사소한 개연성 등 아쉬운 부분은 많고 발신제한과 비슷한 감이 많지만 재미면에서는 실망스럽지 않았다 상당히 재미있게 보고 나왔음 ,8
34,최근 본 영화 중 제일 완성도 높았음 명작 중 명작 차은우 연기 진짜 많이 늘었고 이종석 연기가 미쳤음 그냥 레전드임 김래원 목소리 너무 좋고 이민기 특출인데도 존재감 대박임 ,10
35,재미가 없는 건 아니지만 여러요소를 다 다루려고 하니까 이도 저도 아니게 애매해져버린 거 같음. ,7
36,"이종석 캐릭터가 과하게 일을 키운다는 생각이,, ",7
37,"전체적으로는 재밌게 봤지만 영화가 조금씩 끊기는 느낌, 그리고 한 인물의 붕 뜨는 느낌을 받았다. ",6
38,김래원 배우님 연기 미쳤다…! ,10
39,배우들 라인업이 좋아서 기대하고 봤는데 실망을 져버리지않네요! 몰입감 대박이고 폭탄 터질때마다 깜짝깜짝 놀랏네요ㅋㅋㅋ극장에서 보기 좋은 영화! ,10
40,캐스팅도 대박인데 스토리까지 개쩔어요...진짜 극장에서 안보면 완전 후회할뻔 ㅠㅠ ,10
41,확실한건 배우들의 멋짐은 폭발한다. ,6
