"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020- 07- 13","525.50","567.98","575.37","520.96","18.40M","-4.23%"
"2020- 07- 10","548.73","519.73","555.88","511.28","21.61M","8.07%"
"2020- 07- 09","507.76","508.40","510.00","495.78","5.84M","0.99%"
"2020- 07- 08","502.78","498.58","505.10","493.81","5.69M","1.95%"
"2020- 07- 07","493.16","497.31","504.82","490.83","5.67M","-0.13%"
"2020- 07- 06","493.81","480.77","499.50","479.80","7.84M","3.55%"
"2020- 07- 02","476.89","485.64","492.28","475.53","6.35M","-1.80%"
"2020- 07- 01","485.64","454.00","488.23","454.00","9.71M","6.72%"
"2020- 06- 30","455.04","450.02","457.59","447.00","4.20M","1.74%"
"2020- 06- 29","447.24","445.23","447.67","432.14","4.84M","0.87%"
"2020- 06- 26","443.40","466.39","468.03","442.24","6.80M","-4.83%"
"2020- 06- 25","465.91","458.86","467.01","454.00","4.13M","1.76%"
"2020- 06- 24","457.85","468.54","472.36","454.00","4.83M","-1.80%"
"2020- 06- 23","466.26","466.50","474.01","464.50","5.95M","-0.38%"
"2020- 06- 22","468.04","455.01","468.59","454.21","6.27M","3.16%"
"2020- 06- 19","453.72","449.12","453.97","445.60","5.93M","0.86%"
"2020- 06- 18","449.87","448.73","452.76","442.80","4.28M","0.47%"
"2020- 06- 17","447.77","441.82","450.46","439.22","6.53M","2.67%"
"2020- 06- 16","436.13","425.76","437.96","425.18","5.51M","2.50%"
"2020- 06- 15","425.50","421.40","426.49","415.42","4.47M","1.78%"
"2020- 06- 12","418.07","429.00","434.06","412.45","6.46M","-1.76%"
"2020- 06- 11","425.56","428.20","445.57","424.16","7.46M","-2.05%"
"2020- 06- 10","434.48","436.00","439.69","430.55","4.90M","0.10%"
"2020- 06- 09","434.05","421.65","434.73","420.31","6.80M","3.47%"
"2020- 06- 08","419.49","416.00","420.80","406.50","5.85M","-0.03%"
"2020- 06- 05","419.60","407.29","420.24","404.25","5.10M","1.27%"
"2020- 06- 04","414.33","422.39","428.71","410.03","5.41M","-1.81%"
"2020- 06- 03","421.97","426.95","427.10","418.05","4.32M","-1.25%"
"2020- 06- 02","427.31","425.87","427.59","419.46","3.49M","0.33%"
"2020- 06- 01","425.92","418.83","426.72","415.98","3.75M","1.47%"
"2020- 05- 29","419.73","417.46","420.30","411.85","5.27M","1.52%"
"2020- 05- 28","413.44","417.24","422.37","411.50","5.66M","-1.54%"
"2020- 05- 27","419.89","410.38","420.02","397.86","10.45M","1.23%"
"2020- 05- 26","414.77","427.77","428.50","413.14","7.88M","-3.39%"
"2020- 05- 22","429.32","437.00","439.09","427.18","5.42M","-1.59%"
"2020- 05- 21","436.25","448.56","448.96","430.25","9.12M","-2.55%"
"2020- 05- 20","447.67","454.25","455.81","444.00","5.61M","-0.75%"
"2020- 05- 19","451.04","453.40","458.97","450.46","4.81M","-0.34%"
"2020- 05- 18","452.58","451.16","456.36","443.35","7.78M","-0.35%"
"2020- 05- 15","454.19","440.70","455.00","437.51","7.24M","2.77%"
"2020- 05- 14","441.95","444.90","452.38","432.82","9.01M","0.84%"
"2020- 05- 13","438.27","435.69","447.00","427.27","7.01M","1.49%"
