순위,영화명,개봉일,매출액,"매출액
점유율",관객수,스크린수,상영횟수
1,범죄도시2,2022-05-18,"131,297,440,478",11.3%,"12,693,302","2,521","355,767"
2,탑건: 매버릭,2022-06-22,"87,855,360,975",7.6%,"8,177,446","1,975","249,415"
3,아바타: 물의 길,2022-12-14,"90,296,839,202",7.8%,"7,313,149","2,809","152,626"
4,한산: 용의 출현,2022-07-27,"73,700,628,377",6.4%,"7,264,934","2,223","217,713"
5,공조2: 인터내셔날,2022-09-07,"70,916,352,586",6.1%,"6,982,840","2,389","275,814"
6,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,"62,648,728,870",5.4%,"5,884,587","2,691","211,097"
7,헌트,2022-08-10,"44,600,858,153",3.8%,"4,352,390","1,625","170,963"
8,올빼미,2022-11-23,"31,769,067,550",2.7%,"3,222,767","1,541","142,130"
9,쥬라기 월드: 도미니언,2022-06-01,"29,237,071,310",2.5%,"2,837,410","2,218","86,427"
10,마녀(魔女) Part2. The Other One,2022-06-15,"28,922,488,670",2.5%,"2,806,501","1,796","94,940"
11,토르: 러브 앤 썬더,2022-07-06,"29,505,081,721",2.5%,"2,716,306","2,143","107,527"
12,미니언즈2,2022-07-20,"21,999,556,172",1.9%,"2,269,024","1,394","78,960"
13,블랙 팬서: 와칸다 포에버,2022-11-09,"22,203,069,405",1.9%,"2,105,641","2,571","121,601"
14,비상선언,2022-08-03,"20,927,363,328",1.8%,"2,058,869","1,734","73,045"
15,스파이더맨: 노 웨이 홈,2021-12-15,"19,496,498,450",1.7%,"1,991,050","2,162","131,941"
16,육사오(6/45),2022-08-24,"19,791,166,880",1.7%,"1,980,769","1,339","105,933"
17,헤어질 결심,2022-06-29,"19,642,291,589",1.7%,"1,893,954","1,374","79,620"
18,외계+인 1부,2022-07-20,"15,995,553,548",1.4%,"1,539,362","1,959","68,414"
19,영웅,2022-12-21,"14,534,225,323",1.3%,"1,487,679","1,314","45,482"
20,해적: 도깨비 깃발,2022-01-26,"12,523,963,990",1.1%,"1,339,242","1,708","117,320"
21,브로커,2022-06-08,"12,586,786,030",1.1%,"1,261,131","1,594","66,203"
22,신비한 동물들과 덤블도어의 비밀,2022-04-13,"12,305,198,580",1.1%,"1,195,441","2,207","106,090"
23,인생은 아름다워,2022-09-28,"10,898,038,019",0.9%,"1,171,602","1,285","106,970"
24,더 배트맨,2022-03-01,"9,339,130,700",0.8%,"904,238","2,370","97,370"
25,데시벨,2022-11-16,"8,846,169,146",0.8%,"900,654","1,152","55,336"
26,정직한 후보2,2022-09-28,"8,446,139,162",0.7%,"899,684","1,318","77,220"
27,씽2게더,2022-01-05,"8,193,478,050",0.7%,"885,067","1,251","72,580"
28,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022-09-28,"8,363,867,924",0.7%,"836,665",873,"41,965"
29,블랙 아담,2022-10-19,"8,040,723,608",0.7%,"779,485","1,524","77,116"
30,킹메이커,2022-01-26,"7,318,959,610",0.6%,"775,968","1,185","80,072"
31,자백,2022-10-26,"7,352,559,230",0.6%,"738,120","1,115","78,568"
32,언차티드,2022-02-16,"7,116,304,100",0.6%,"730,924","1,536","77,036"
33,경관의 피,2022-01-05,"6,687,389,520",0.6%,"679,503","1,187","57,409"
34,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,"6,750,156,802",0.6%,"662,397",439,"20,340"
35,극장판 주술회전 0,2022-02-17,"6,602,758,252",0.6%,"662,099",843,"66,699"
36,압꾸정,2022-11-30,"5,722,751,661",0.5%,"608,197","1,229","47,408"
37,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,2022-06-01,"5,477,045,710",0.5%,"581,216",809,"14,101"
38,이상한 나라의 수학자,2022-03-09,"5,045,184,520",0.4%,"534,287","1,357","72,424"
39,명탐정 코난: 할로윈의 신부,2022-07-13,"5,119,750,724",0.4%,"490,868",758,"19,422"
40,동감,2022-11-16,"4,755,257,700",0.4%,"490,145","1,013","37,451"
41,모비우스,2022-03-30,"4,669,517,390",0.4%,"475,928","1,696","71,160"
42,늑대사냥,2022-09-21,"4,769,650,393",0.4%,"458,720","1,226","39,242"
43,뽀로로 극장판 드래곤캐슬 대모험,2022-07-28,"4,192,060,075",0.4%,"447,710",748,"17,846"
44,특송,2022-01-12,"4,172,193,200",0.4%,"443,177",996,"48,006"
45,니 부모 얼굴이 보고 싶다,2022-04-27,"3,949,569,280",0.3%,"416,523","1,008","39,190"
46,놉,2022-08-17,"4,709,541,135",0.4%,"415,969","1,031","31,744"
47,리멤버,2022-10-26,"3,969,817,717",0.3%,"412,778","1,189","51,985"
48,킹스맨: 퍼스트 에이전트,2021-12-22,"4,159,334,510",0.4%,"406,904",913,"27,268"
49,배드 가이즈,2022-05-04,"3,781,458,170",0.3%,"400,329",844,"22,867"
50,뜨거운 피,2022-03-23,"3,782,750,970",0.3%,"398,090","1,279","53,956"
