NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1157,대물 : 아내의 불륜,최찬호,(주)영화사가을,,(주)영화사가을,20201019,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1158,대물의 유혹:많이 쌓였죠?,야만카 소쿠스,,,(주)영진크리에이티브,20201216,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1159,대물인 의붓아들,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
1160,대물투어:고향의 밤꽃향기,"쿠로아카 긴조,사노 B사쿠",,(주)영진크리에이티브,(주)영진크리에이티브,20200212,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1161,대학생 기숙사 밤당번녀-G컵,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200502,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
1162,대학선배에게 뺏긴 약혼녀,핫시이,,,(주)빅콘미디어,20201201,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
1163,더 인터프리터,마틴 술릭,,주식회사 플릭스코,주식회사 플릭스코,20201106,개봉영화,장편,프랑스,1,6000,1,0,0,드라마,12세이상관람가,일반영화
1164,더 헌티드: 저주받은 집,,,(주)소나무픽쳐스,(주)소나무픽쳐스,20200203,개봉영화,장편,영국,1,5000,1,0,0,공포(호러),15세이상관람가,일반영화
1165,더럽혀진 예비신부,히이라기 엔부,,(주)영진크리에이티브,(주)영진크리에이티브,20200331,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1166,더럽혀진 예비신부 무삭제판,히이라기 엔부,,(주)영진크리에이티브,(주)영진크리에이티브,20200721,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1167,더퍼지:최초의시작,,,(주)알이디아이스엔터,(주)알이디아이스엔터,20200326,개봉영화,장편,미국,1,1000,1,0,0,공포(호러),청소년관람불가,일반영화
1168,데드맨 스탠딩,,,(주)영화사 안다미로,(주)영화사 안다미로,20201117,개봉영화,장편,미국,1,1000,1,1000,1,스릴러,15세이상관람가,일반영화
1169,데릴사위 : 젊은 장모를 탐하다,최민현,(주)영화사가을,,(주)영화사가을,20200106,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1170,데빌 인 더 캐빈,앤드류 존스,,(주)영화사 안다미로,(주)영화사 안다미로,20200128,개봉영화,장편,미국,1,1000,1,0,0,공포(호러),청소년관람불가,일반영화
1171,데빌 인사이드 미,,,,(주)영화사 안다미로,20201130,개봉영화,장편,캐나다,1,1000,1,0,0,공포(호러),청소년관람불가,일반영화
1172,도둑냥,지풍승,굿픽처스,,굿픽처스,20200415,개봉영화,장편,한국,1,6000,1,0,0,코미디,청소년관람불가,일반영화
1173,도련님:남편보다 좋아,버드맨 텟페이,,(주)영진크리에이티브,(주)영진크리에이티브,20200807,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1174,도시남녀:쾌락의 절정,마츠오카 쿠니히코,,(주)영진크리에이티브,(주)영진크리에이티브,20200325,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1175,도화선: 용의 부활,레이먼드 후버,,(유)조이앤시네마,(유)조이앤시네마,20200206,개봉영화,장편,미국,1,1000,1,1000,1,액션,청소년관람불가,독립/예술영화
1176,돈 스피크,스콧 제프리,,,(주)영화사 안다미로,20201214,개봉영화,장편,미국,1,1000,1,0,0,공포(호러),15세이상관람가,일반영화
1177,돈많은 유부녀와 여행계약-전편,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200201,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
1178,돈많은 유부녀와 여행계약-후편,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200201,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
1179,돈이 없으면 몸으로,"쿠로아카 긴조,사노 B사쿠",,,(주)영진크리에이티브,20201017,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1180,돌싱들의 야릇한 소개팅 - 화끈하다,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200103,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
1181,동거 : 아내의 친구,최민현,(주)영화사가을,,(주)영화사가을,20200429,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1182,동거 : 착한 처제,김환,(주)영화사가을,,(주)영화사가을,20200324,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1183,동거 : 착한 처제 무삭제,김환,(주)영화사가을,,(주)영화사가을,20200526,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1184,동거:세여자 한남자,이케지마 유타카,,(주)영진크리에이티브,(주)영진크리에이티브,20200325,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
