,Review,Rank
0,영화보고 썸녀가 고백했습니다.. 추천하면 고백받음 ,8
1,리뷰 다 거짓말 하네... 개연성도 하나도 없고 억지로 레트로멜로 흉내만냈음 그냥 잘생긴 정해인 스크린으로 크게 봤다고 생각하면 됨 ,1
2,어떤 제정신이 아닌 분이 두부를 찾으러 빵집에 들가죠??? ,2
3,진짜 평점 알바가 있던지 아님 영화 관계자들이 별점 노이즈를 만들던 하는 게 확실하네요..  정해인 김고은 무대인사 하는거 봤고 영화 기대하고 봤으나 너무 개연성없이 스토리 진행 되다가 끝나서 당황 했습니다.  보신...,1
4,뻔한 스토리에 연관없는 전개들. 평점에 속았다 -- ,1
5,어... 영화제목이 사실 의미가 없는들한 영화 내용이고. 스토리나 개연성 이전에 감독이 연출을 첨부터 다시 배워야함. 대사나 영화 장면으로 스토리가 딱딱 연결이 안되고 간정선이 전혀 살지못함. 시대에 안맞는 소품도 ...,1
6,"개연성없는 역대급 멜로영화. 댓글알바들이 판을 치길래 처음 평점쓰고감. 한6점짜리 영화임. 그냥 정해인 나오는 영화이며, 명작들의 이것저것 짬뽕해놓은듯한 영화. 조잡함 ",1
7,"내용에 핵심이 뭔지 모르겠고, 그렇다 할 만한 내용은 없는데 질질 끄는 느낌... 제목이 왜 유열의 음악 앨범인지도잘 모르겠음 ",4
8,하~ 총체적 난국. 친구가 옥상서 떨어져 죽는것부터 어설퍼더니 포장마차서 친구들 우르르 나간것도 그래서? 싶고   미수 차로 데려다줬다고 난리치는것도 왜 저래?싶고 수제비딸도 뜬금포  사장도 이상하고 납득이 안돼. ...,2
9,영화가 구구절절 설명하지 않아서 좋았다.우연이 겹치면 필연이 되고 운명이 되는거지..기적 별거 아니야 그치? ,10
10,정해인김고은 캐스팅하신 분 복받으세요 ,9
11,여기 다 알바들만 있는듯.. 개연성 없고 전달하고자 하는게 뭔지 모르겠음ㅠㅠ 그냥 정해인 얼굴 감상용 ,1
12,레알 쌉노잼입니다 여러분 ,2
13,"장면 장면은 괜찮은 씬이 꽤 있었지만, 전체적인 스토리라인은 좀 아쉽게 느껴졌음. ",5
14,아 몇년만에 보다 중간에 나온영화다 정말 감회가새롭구나 오랜만에 이런똥맛같은영화를봐서 엄복동도 진짜잘걸렀는데 이걸못걸렀을줄이야....우연의 일치로 스토리를 이어갈줄꿈에도 몰랐다. 뜸금포 개지림 ,1
15,이리 만들거면 90년대 주옥같은 노래들을 사용하지나 말지... ,2
16,뚝뚝 끊기는 감정선에 개연성이라고는 찾아볼수도 없음 덕분에 몰입 1도안됨 5000원도 아까운 영화. 역시 배우가 좋다고 영화도 좋은건 아니었다 ,1
17,늦여름과 초가을에 딱 어울리는 감성멜로.유열의음악앨범 ,10
18,진짜로 이게 재밌다는 사람이 있는건가요ㅠㅠ 어이없고 지루함+이해안되는 전개의 연속ㅠㅠ ,2
19,지민이 유희열의 스케치북 랩하는게 더 재밌다 ,2
