,Review,Rank
0,일단 진선규님 진짜 연기를 다양하게 잘하셔서 놀랐어요 오랜만에 부담없이 진짜 코미디 영화를 본거 같아서 즐거웠어요 조조로 할인받고 봤는데 반값이라 더 재밌어요 밤새다 할거없이 봤는데 최고~~ ,10
1,진짜 뻥안치고 ㅈㄴ 웃겼다 ,10
2,"계속 웃으면서 봤어요!""지금까지 이런맛은 없었다이것은 갈비인가 통닭인가수원왕갈비통닭입니다.""이 대사가 귓가에 계속 맴도네요 ㅎㅎ ",10
3,지금까지 이런 영화는 없었다  이것은 영화인가 통닭광고인가 ,10
4,간만에 정치색 안띠고 마냥 한국식으로 웃긴 영화다~류승룡도 완전 찰지고ㅋ흥해라 ,10
5,아주그냥  진지한척 심오한척 메세지있는척 겉멋은잔뜩들고 막상 까보면 텅빈 영화들만 주구장창 나와서 피로하던참에 간만에 힘 쪽빼고 유쾌하게 웃으며 볼수있는영화라 너무 즐거웠습니다. 한국식코미디에는 꼭 나오는 억지 감동...,8
6,류승룡 좀비설 너무 웃겼어여 ,10
7,마약반 형사들 각각 캐릭터가 확실했습니다. 겹치는 점도 없었고 조합도 너무 좋았습니다. 악역분들도 그 표정들하며 사투리와 찰진 욕설들.. 기억속에 남습니다. 웃으면서 행복했던 감정이 기억에 남습니다. 시사회로 봤지만...,10
8,완전 내스타일.. 류승룡 영화 요즘 말아먹더니 이번엔 대박 웃기네 ㅋㅋ역시 갓승룡 ,10
9,조조로 보고 출근중입니다. 저는 정말 미친듯이 웃었고.감동도조금 있었습니다.극한직업2 제작해주떼엽 ,10
10,류승룡: 여보 왜씻어....? ,10
11,자꾸 광고할떄 치킨치킨 거리길래 뭔말인가 했더만..ㅋㅋㅋ치킨먹고싶네 ,9
12,올해 가장 재미있었다 아직까진 ,10
13,진선규ㅋㅋㅋ나보다 못생겼단말이 얼마나 상처받던지 ,10
14,방금보고 나옵니다 이하늬 커플이 다했습니다 ㅋㅋ ,7
15,"유머코드가 맞냐 안맞냐의 차이.같이 간 친구는 계속 웃던데, 저는 그냥 그랬어요. ",5
16,글쎄.. 그낭그랬는데 나만그런가? ,6
17,마지막에 공명 안아파~ 너무 웃겨 ,10
18,어떻게든 웃기려고 하는데 이만하면 성공하지 않았을까 ㅋㅋ ,9
19,진짜 모르겠음 ㅠㅠ 개그코드 안맞으면 재미없나봐요... 웃기려고 해서 안웃김요ㅠㅠ나만 안웃긴가봄 다들 재밌다고 깔깔 ,1
20,글래스가 낫다 비공 vs 극한직업이 괜첞않다 공감 좀요 ㅜㅠㅠ 부탁드릴께요 네티즌 여러분들 ,9
21,나랑은 안맞는듯 너무 억지로 웃길려고 발악하는 느낌 ,1
22,치킨으로 이렇게 웃기기 있기 없기? ,10
23,ㅠㅠ진짜웃곀ㅋㅋㅋ 또볼꺼야ㅠㅠㅠ ,10
24,진짜 개재밌음 꼭 보삼 류승룡씨는 오랜만에 흥행성공 하시겠네 ,10
25,감히 천만 예상 해 봅니다같은 생각 따봉ㄱㄱ ,10
26,웃음코드가 나랑 안맞음... ,6
27,염력보고 충격받아서 류승룡 이번 영화 괜찮을까 망설였는데 ㅋㅋㅋ처음부터 끝까지 너무 웃김 ㅋㅋㅋㅋ영화관에서 다들 깔깔깔웃던데 ㅋㅋ스토리도 나름 탄탄함 ㅋㅋㅋ ,10
28,내가 너무 야박하고 냉정한건가.. 하나도 안웃기던데.. 억지 웃음 포인트 만들어서 별로... ㅡㅡ ,1
29,"큰 기대없이, 별 생각없이 봤는데 많이웃었어요. 재밌게 봤습니다~편하게 보기 좋은영화~ ",10
30,중간에 엇나가지 않아서 끝까지 유쾌하고 재밌게 봤어요:):) ,10
31,신선하고 재밌었습니다! ,8
32,진짜 개꿀잼 시사회 두번갔다왔는데 오늘 아침부터 또 보러 갔다옴 3번봤는데 그냥 재밌음 내인생 영화임 배우들 케미 개쩔고 마약반 정말 잘어울림 연기 너무 잘함 처음부터 끝까지 재미있음 신하균 오정세도 따로 또 재밌고...,10
33,너무나 예측되는... 솔직히 저는 재미없었습니다. 어디서 웃길지 너무 예측되어서요.. ,1
34,평점 믿고 봤는데...유치합니다 ,4
35,도대체 어느 지점에서 웃음이 난다는 건지... ,2
36,극한직업 덕분에 많이 웃었네요ㅎㅎ 좋은 영화 감사합니다ㅎㅎ ,10
37,ㅇ ㅅ ㅇ; 진심 .. 다 재밌어하는건가 나는 재미없었음영화관에서 다 빵터지구 계속웃는데나는그낭 실소 정도관객들이 너무 계속웃어서나도왠지웃어야될것같았지만 안웃김 ㅠ유치했음가끔 이동희가 웃김 ,4
38,엄마랑 재밌게 봤어요 시간 후딱가요 ,8
39,대놓고 약빤 감독이 대놓고 약빤 배우들 데리고 만든 극락의 히로뽕 같은 영화ㅎㅎ걍 웃다가 웃다가 웃다가 웃다가 끝난다ㅎㅎㅎㅎ코믹 영화로 스트레스를 풀수도 있다는 걸 34년만에 깨달은 하루ㅋㅋㅋ ,10
40,생각보다 너무 재미있었습니다 진선규님 코믹연기도 너무 잘하셔서 놀랐네요 ,10
41,진선규배우님의 연기 짱! ,10
42,웃음코드가 나와 안맞는 영화이다. 감독이 여기서는 관객이 웃어야만 해 라고 억지로 연출을 한것같음. 자연스러운 웃음이 아닌 여기서 내가 웃어야하는 부담감을 느낌. 어의가 없어서 웃고 극장을 나왔지만 평론가 평점까지 ...,3
43,살다살다 감상평은 처음남긴다. 내 한국영화중 역대급이었음. 끅끅거리면서 웃어서 나갈때 배가 너무 아픈거 빼고 다 좋았음. ,10
44,억지개그에 너무과해서 노잼임 ,2
45,"웃음 코드가... 남들과는 다른가봐요 한번도 안웃고 봤어요 옆에 남자친구도 굳은 표정으로 보고 다른 사람들은 웃긴 웃는데...ㅋㅋㅋ 억지 웃음, 억지 대사, 끼워 맞추기 스토리 최근 본 영화 중에 시간 아깝다 느낀 ...",2
46,개꿀잼이야 진짜 ㅠㅠ 꼭보세요 다들 ,10
47,음...생각보다 저는 별로 ,1
48,보고나면허탈하다ㆍ개콘보듯이 보라가라 ,1
49,진선균님의 하드케리라 봅니당 배역 잘 맡으신둣 ,10
50,이거 진짜 개웃김ㅋㅋㅋ 미쳤나봐 진짴ㅋㅋㅋ ,10
51,초딩 유머코드 초딩 혼자 웃고 ,2
52,극한직업ㅡ관람객 일듯 ,1
53,가게서 일해서 그런지 완전 공감감  신하균은 그와중에 잘생기고 공명 마지막에 진짜 울면서 봣어요 너무 귀여운데 미쳐 ㅠ 웃겨서 울면서 보긴 처음이네 2나오면 좋겠다 진짜 제발 12시 넘어서 봣는데 졸리지도 않음 음료...,10
54,볼만해요 근데 웃음코드가 나랑은 안맞음 ㅋ ,7
55,재밌게 봤습니다 웃음코드가 빵빵떠지네요 ,8
56,진짜 공명 미쳤어요 너무 웃기고 귀여워요 ,10
57,안아파~안아파~  젤 웃겨 ㅋㅋ ,10
58,2시간동안 웃고나왔다 ,10
59,억지웃음 장난아니다 웃음도 안 나오지만  1점도 아깝다 ,1
60,너무 기대하고 가면 실망하는거 아닌가 했는데 대폭소는 아니지만 간만에 유쾌하게 웃고 왔네요. 마형사 짱! ,8
61,"“지금까지 이런 맛은 없었다 갈비인가 통닭인가 수원왕갈비통닭”믿고 보세여..진짜 별?처음부터 끝까지 재미있고 웃겼던 영화연출도,연기자 분들도 다 완벽했던거같다 ",10
62,안유치한 코미디 영화는 만들 줄 모르냐? ,1
63,평점에 낚였네요..한 두번 피식하고 끝..졸았어요. 별 하나도 아까움 ,2
64,사람마다 취향이 다르지만..와..댓글평점보고갔다가..중간에나옴... ,1
65,개노잼; 돈아깝닺ㄴ짜 ,1
66,배우들 케미 진짜ㅋㅋㅋ 배우들 연기 보는 재미도 쏠쏠해 ,9
67,"폭력, 욕설이 없으면 영화를 못만드는 한국영화 처음부터 끝까지 무표정으로 봤다. 유치하고 오글거리는 개그코드 ",1
68,기대 별로 안 하고 봤는데 연기도 연출도 좋았어요. B급 정서 물씬~ 계속 웃으며 봤어요. 억지 신파도 없고. ,10
69,평점 조절이 시급한영화다 ,1
70,너나좋아하냐? 부터 빵빵터짐ㅋㅋㅋㅋ ,10
71,웃기지도 않고.... 내용도 부실하고... 연기도 답없고... ,1
72,알바 너무 많네요. 초반 웃음기 약간빼면 도저히 이해 할수 없는 영화 ,2
73,이 영화가 천만 찍을수있었던 이유는 시기를 잘 탔기때문이다. 절때 천만돌파 영화급이 못된다.  쓸때없는 욕 만 난무하고 억지로 웃을 끌어 내려는 대사는 엮겨운수준이다.이런영화보고 재미있다고 하는사람들 수준이 궁금하다...,1
74,꿀잼 안 보면 손해예요 짱 ,10
75, 병맛인데 짱웃겨요 ㅋㅋㅋ 아무생각없이 웃다옴 ㅋㅋ 가끔가다가 웃기려고 작정한 부분 오글거리는거 빼고 개웃김퍽퍽한 삶에 한줌의 웃음을 주는 영화에욧 ,9
76,별점 테러가 아니라 솔직히 재미 없음..그냥 웃자고 아무생각 없이 봤는데 피식 몇번 한게 다임...네이버 평점 이해 안가요... ,2
77,진심 보면서 1초도 안웃음 경쟁작이 전혀 없으니 뽀록으로 잘되는거 같다 내가 본 한국영화중에 최악이다  오버하고 유치하고 마지막에 경찰 대원들 하나하나 소개하는데 무슨 파워레인저 소개하는줄 하 한국영화 이래서 내가 ...,1
78,말이 필요없다 꼭보셈 강추 ,10
79,유치뽕짱수준 영화.  한국인들 수준이 낮아졌다는걸 단적으로 보여주네 ㅋ ,1
80,웃겨서 웃는 웃음이 아닌 유치하고 억지스럼에 보는내내 헛웃음만 나오게한 최고의 영화가 아닌가싶다 ,1
81,"뻔한 말장난개그, 뻔한 스토리, 뻔한 결말..이 영화가 흥행하고 있다는게 신기하다 ",1
82,솔직히 한두번 웃긴거 말곤 한숨만..한편으론 한국영화가 심히 걱정되네요 ,1
83,억지웃음 예고편이 다인 영화ㅜ ,1
84,일부러 웃음 유도하려고 발악하는 느낌..돈 아까웠음.. ,2
85,봐보세요 나만돈아깝나궁금.. 그렇게웃기다길래 봤는데 영화관서본영화중 돈아까운적진짜처음이에요 중간에 나갈까 여러번고민때림 이거 어떻게 예매율1위예요?? 평점 실화애오???? 아화난다...갠적으로 녹색북진심추천합니다 녹...,4
86,모든영화가 주제가 없으면 문제다. 근데 모든 영화에 주제가 있을필요도 없다. 그냥 이런 재미만 추구해도 좋지롱 ,10
87,나만 이상한가??? 뭐가 재밌다는 거야?? ,2
88,이런 한심한 수준의 영화가 천만찍을정도니...참담하다... ,1
89,진짜 재미없다 억지웃음 유치해서 부끄럽더라 ,1
90,캐릭터 다 너무 귀여웠고 엄텅 재밋엇숩니다!! ,10
91,개인적으로 이게 왜 천만넘었는지 이해가 안감... 개봉하기 전부터 별로 끌리지도 않았고 이게 이렇게 흥행할 줄 상상도 못했는데 천만이 넘을줄이야..ㅋㅋ 걍 전형적인 한국 코미디 영화였는데ㅠ 그렇게 요즘 사람들이 웃을...,1
92,진짜 장르 애매하게 가다 어중이떠중이 되는 경찰물들 많은데 이건 정말 첨부터 끝까지 조오오오오온나 웃깁니다 ,10
93,초반에는 재미있겠다 싶었는데 너무 반복되는 웃음유도와말장난이 오히려 거부반응을 불러옴. 과유불급. 유치한 거 못 참는 분들은 비추. ,2
94,와진짜어디서웃어야하냐...관객수물타기라는게진짜무섭구나...이거볼빠에덤앤더머3번본다..한국영화수준떨어트린다는게이런거다...뻔히보이는억지웃음코드는진짜어디다가장단맞치냐...작작하자 ,1
95,꿀언늬 욕 겁나 찰져요 ㅋㅋㅋㅋ마지막에 공명 약빨고 액션 개웃김 ㅋㅋㅋㅋ ,10
96,개그콘서트 웃찾사 보고 웃을정도 사람들이 볼만한 영화 ,1
97,웃고 싶을때마다 보는데 매번 웃기는 최애 영화. ,10
98,이 영화가 천만을 넘는 상황이 코미디다 ㅋㅋㅋ ,1
99,두번 웃었네요 피식 ... ,1
100,별 안 줄순 없냐. 이걸 영화라고 찍었는지 ,1
101,"간만에 극장에서 웃으면서 본 영화입니다! 현실성은 조금 떨어지지만, 코미디 영화답게 웃기는데는 최고였어요후반부 액션씬도 좋았습니다. 인생 캐릭터를 만난 공명 배우님과 코미디 영화에서 의외의 발견을 할 수 있던 진선규...",10
102,그냥 편하게 가볍게 조금 웃을정도..너무 웃음 설정이 과하고 유치해요천만 관객수준은 절대 아닙니다. 평점이 너무 과해요 ,1
103,우리나라 관객 수준이 겨우 이랬나이딴 싸구려꽁트영화가 어찌 1000만이냐 ,1
104,진짜 신파극도 안나오고  개 웃겨요 ㅜㅜ ,10
105,올해 한국영화 나올때마다 이 영화랑 비교당할 듯 진짜 대박 ㅠㅠ 감독님 작가분이랑 평생 함께하세요 ,10
106,개꿀잼  쏴버려에서 개터짐 ,10
107,지금까지 이런 영화는 없었다. 이 영화는 예고편이 다인 영화인가? 아닌 영화인가? 솔직히 예고편이 재미를 오히려 떨어트리는건 사실이지만 마약반 5인 케릭터가 겹치지도 않고 케미가 좋았다. 8점대 영화인데 1점대 테러...,10
108,그렇게 웃기지도않고 억지웃음이 너무많았다 ,1
109,OMG...나에게는 시간때우기용ㅠㅠ ,2
110,예고가 더 재밌는 영화. 그 이상은 기대 하지마라. ,2
111,댓글들 다 알바인가?? 초반부터 억지웃음 짜내길래 돈아까워서 보다가 어느순간 잠듦 ,2
112,진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 ,10
113,진심 이게 재밌나?걍 웃기지가 않은데 ,1
114,스크린 독점 설날특수 개뽀록영화 ,1
115,수준이 너무 낮은 것 같다 ,1
116,대박나서 치킨광고 찍자! ,10
117,오늘 낮에 봤는데 지금 개봉중인 영화중에서는 가장 볼만한거 같네요~~~~ ,9
118,각자 역할이 진짜인듯..영화프로그램에서 조금만 보여주었으면 좋겠어요그 다음 상황을 알고보니 재미가 좀 떨어졌어요.. ,9
119,스크린독과점빨로 천만넘기네 ,1
120,"맘껏 웃었어요~~이하늬배우 넘 찰지게 욕 잘함, 진선규배우!!!! 연기갑!!! ",10
121,이게 이렇게 극찬받을 영화인가 ,2
122,음...쩝...별론데 ,1
123,음... 저는 사실 기대를 너무 많이해서 그런지 그저그랬어요 ㅠㅠㅠ 중간중간에 웃기긴했는데 예고편이 사실 거의 전부라서 저는 별로였어요. 왜 평점이 9점이 넘는것인지.... 7점 후반 8점 초반 정도 영화라고 생각해...,6
124,재미없고 억지웃음만... ,1
125,재미있게 봤어요.반미영화보다 훨씬 낫다 ,8
126,너무너무너무 재미없어요 이번년도 최악의 영화에요 ,1
127,이게 정말 이정도 극찬 받을만한 코믹영화가 맞는건지... 대한민국 돈 벌어먹기 쉽네요. 800만돌팤ㅋㅋㅋ ,1
128,엄청 재밌다했지만 큰 기대 안하고 봤어요..기대했음 큰일날 뻔.. 도대체 뭐가 재밌다는건지.. ,1
129,"개인적으로 의도적으로 웃기려고 대사 넣은게 눈에 보여서 재미 없었어요 다른 분들은 재밌다고 난리던데 저는 별로,,, ",4
130,간만에 꿀영화ㅠㅠㅠ 넘 재밌는거 ,10
131,혼술남녀때부터 공무원시험 준비하더니 꿈을이루셨네요 공명씨!! 축하드려요!경찰직이셨군요!! ,8
132,"진심 천만 영화는 아닌 것 같아요 영화 보는 내내 피식 한 번도 안함 남들 본다고 보지 마시고, 기대 하고 보지 마세요.. ",1
133,기분이 우울해서 보러갔는데 우울한기분이 싹 날아갈정도로 웃으며 봤습니다. 너무 웃겨요~~ㅋㅋ 공명 귀여워 ,10
134,저의 취향이 아닌 억지 웃음뿐...어이없는 웃음만 웃다 끝났습니다 ,2
135,진짜 웃김 계속 웃었음 말 한마디한마디가 웃기고  약간 전개를 좀 끄는 느낌도 받음 그래도 재밌음 ,10
136,이정도 평점까진지는 모르겠습니다. 솔직하게... ,6
137,진짜 너무하네요 ..영화가 너무뻔하고 영화관에 영화소리보다 사람들 웃음소리로 꽉차서 보는데 집중이안됫어요 ..그래서 저는 더크게 웃었어요 겁나재밌네요 ,10
138,많이 실망 햇습니다.... 내용을 보란건지 연기를 보란건지.... ,1
139,중간에 나오려다가 돈아까워서 참음... ,1
140,이게천만? 관객수준... 이러니 한국영화가 발전이있을리가 ㅎㅎㅎ ,1
141,볼만은 했는데그저 그런 우리나라 깡패 범죄 오락 영화의어디서 본듯한 진부한 내용에다가치킨집이랑 설정만 신선한듯~웃음코드가 좀 억지인듯 ,6
142,재밌어요ㅋㅋ 형사캐릭터 전부 다 차별화되서 웃김진선규랑 공명ㅋㅋㅋ ,8
143,첨부터 끝까지 웃음밖에 없는 영화 ㅋ 대박 졸잼 ,10
144,볼만 함 기대하고 보면 안될듯 ,7
145,어우야 이거 9점때는 정말 아니라서 0점주러 왔어요 이런 잔인하고 욕하는 영화 너무 싫어요 ,1
146,아무생각 없이 보면 급터지는 영화여요! 시사회때 보고 주변에 여기저기 입소문 퍼트리는 중이에요! 입소문으로 흥해라!! 공명이라는 분은 처음보는데 왜이렇게 귀엽게 연기잘함?ㅋ ,10
147,너무재밌고 쉬지않고 웃었습니다 강추드립니다 ,10
148,다섯번은넘게본듯배우들너무찰지게웃겨요 ,10
149,이 영화가 왜 천만을 넘는지도 모르겠고재밌다고해서 그냥 작품성없는 영화라고 생각하고보러갔는데 재미도 없음 억지로 웃기려고 상황만들지만 웃음이 나오지 않음. ,2
150,기대하고 봤는데 두시간 동안 한숨만 쉬다 나옴. 대체 이런 영화를 띄워주는 이유가 뭐임? ,1
151,극장가보니 중고생들이 많던데...지나가다 개똥만봐도 웃음이 나올시기니까 잼있다곤 하는데 별로 안우끼던데ㅜㅜ 이영화가 천만이라는것에 놀라움을 금치못했습니다!비슷한영화중 베테랑이나 범죄도시 영화들과 비교했을때 차이가 많...,1
152,시기 잘타면 이런 영화도 천만넘는구나.. 이거 웃기다고 하는 사람들 평소에  얼마나 웃을 일이 없으면 이런게 웃기냐?? 보는내내 머릿속에 물음표가 떠올랐다.. 아무리 그래도 이게 천만짜리 영화냐고... ,1
153,억지웃음 유치하고 허무하다 보는내내 개불편함...한국영화수준이 이건가?관람객 수준이이건가?한국영화를 불신하게만들어준 인생영화... ,1
154,이게 웃기다고? 이게 천만 넘었다고?세상에... ,1
155,알바 너무 많아 알바들 정말 ,6
156,긴 말 안하겠습니다. 29년 인생 영화관에서 영화가 아무리 재미가 없어도 도중에 나가고 싶단 생각은 한번도 없었는데.. 이 영화가 그 영화였습니다. 보지마세요.. ,1
157,영화 자체로는 1000만 돌파감은 아닌듯평점 9점대도 당연히 아니고 ,1
158,제가 코미디영화를 안 좋아해서 그런지 모르겠는데 천만까지 갈만한 영화인지 잘 모르겠어요 ㅠㅠ ,1
159,"내가 이상한건지.. 대한민국 1300만이 이상한건지.. 엄청나게 유치하고, 스토리 구성도 허접.. ",1
160,이야 역대급 진심노잼이다. 진짜 재밌다고??? 와 진짜 평점알바들아 적당히해라. 하 시간아깝다. 보다뛰쳐나오고 싶어서 시간만 계속봤다. 딱 B~C급 영화다. ,1
161,유치하고 안 웃겼음 그냥 집에서보는 영화정도.집에서봐도 안 웃었을듯 ,1
162, 재미없고 유치하고 썰렁하고 돈아까움 진짜... 진짜 냐 취향 아닌 영화. ,1
163,알바를 얼마나 풀었으면 평점이 이렇게 높냐. 이 영화만이 아니라 대다수 한국영화 허접 영화 만들어놓고 스크린 독점에 평점 조작질까지 해대는 대다수 한국영화들 정말 문제다 ,1
164,"이런댓글 처음 써보는데,,너무 어이 없어서 이 영화가 재밌다니..우리나라 영화현실을 보여주네요, 관객이 잘못인지,,영화가 잘못이지,,현재 극장판이 잘못인지 안타깝네요, 살면서 본 코믹영화중 가장 재미없었네요.. ",1
165,나만 별루인가 ㅎ 관객수 이해 안됨 ,2
166,옛날꽁트좋아하는 사람들은 재밌다고 할 영화.얼마젇 완벽한타인은 진짜 재밌게 봤는데 이건 억지웃음에 꽁트에 가깝다. 핵.노.잼. ,1
167,웃음을 쥐어짜려고 다 조합하는 영화같음물론 쌍팔년도 개그 ,1
168,진짜 재밋어사 보는거냐 아님 다들 보니까 보는거냐 ,1
169,이게 현 대한민국 영화 수준 이딴게 천만넘어가고 평점 9점이 넘어가 ㅋ 알바오지게 풀엇나보다 ,1
170,이게 영화냐?  휴  한국영화 하나같이 개망작뿐이네 이게 잼있냐? 잼있어? ,1
171,재밌었음 아무생각없이 재밌게보고옴 ,9
172,억지웃음유발 요소들이 너무 많음 지금 20살인데 중학생 때였으면 같이 웃으면서 즐길 수 있었을듯이제 일부 진부한 한국영화유머코드는 안맞더라..ㅠ ,1
173,웃긴다더니 유치뽕 노잼ㅜㅜ ,2
174,이게왜 천만에 평 9점넘음.. 사람들 영화성이 그렇게없나 ,1
175,최악이었습니다 정말 이런쓰레기 작품이 1500만이라니 대한민국 사람들 의식수준이 부끄럽습니다 ,1
176,난 왜케 유치했지ㅡ..ㅡ ,1
177,너무너무 재미없습니다 초딩용 영화입니다 .이영화가 천만을 넘었다는게 불가사의입니다 .이래서 영화는 홍보가 중요한가 봅니다 ,1
178,이딴 개노잼 영화가 대한민국 흥행 1위라는 사실은 세계 8대 불가사의로 등재 되어야한다. ,1
179,여기 10점주는 알바 왜케 많음???소까 이게 10점짜리 영화는 아니지... ,1
180,평점 좋아 기대좀 했는데 이런  그냥 유치  억지 웃음  재미없음 ,1
181,안 아파~ 안 아파~ 웃다가 숨넘어갈뻔 ,10
182,진짜 대체 한국인이란 무엇일까..같은 사람으로써 이해안됨 겨울왕국2 스크린 독점 드립쳐서 왔는데...진짜 내기억으로 이게 1600백만의 영화구나? 기대도 안하고 봤는데 보면서 내내 역겨웠음. 배우욕 영화욕이 아님 충...,1
183,생각보다 웃긴장면은 많지 않으니 너무 기대하고 가지 마세요. 전형적인 한국 코미디 영화 킬링타임용 ,4
184,이게 현재 1300만? 이 따위 영화가?? ,2
185,한국사람들 영화수준 ㅋㅋㅋ 시간이 아깝더라 ,1
186,괴물 이후로 이게 왜 천만인지 이해가 안가는 외계인입니다 저는 보다가 막 짜증이 밀려와서 눈을 감았네요 천만관객을 동원한 영화인데...아무래도 제가 정만 외계인인가봅니다 ,2
187,이런 영화가 1300만 ? 우리나라 사람들 웃을 일이 그렇게 없나 이런  ... 하 그냥 웃음 코드 안맞으면 노 답 ,1
188,이게왜 천만영화일까 억지웃음코드.. ,1
189,아무리 생각해도 이게 어케 1600만을 찍었는지 이해가 안됨 ,1
190,9점대 영화가 절대 아님 ,1
191,엥 평점 왜이렇게 높음? 나랑은 안맞나봄.. 그냥 너무 억지스럽고 중간에 그냥 잤고... 그냥 배우들이 아까운 영화. ,1
192,평점이 이렇게 높을 영화는 아닌데; ,1
193,   믿고보는 류승룡   언발란스한  캐미?를  보여준  이하늬와  진선규   선비같은  생김과는 다른   맹한  캐릭을 보여준  연기변신의 귀재  공명!!이동휘는   음    투덜이   캐릭이 제일 잘어울리는 하지...,10
194,지금까지이런영화는없었다 ,10
195,"사람마다 관점이 다르다지만, 이게 재밋다고??? 아무리 작품성은 포기하고, 웃음만 추구했다고 한들... 웃음 포인트도 예상가능 & 쓸데없이 욕만하고... 오정세랑 신하균이 서로 욕하는 장면은 도저히 민망해서 못봐줄지...",2
196,이영화가 왜 천만이 넘은건지 그냥  분위기에 휩쓸려서 그냥 다보는것 같아요 ,1
197,아 내가 이걸 극장에서 보다니 ㅠㅠ 개봉 한달차 영화가 스크린 점유율보소. 배급사(cj)극장(cgv) 짜고 치는 고스톱에 낚여 부렀네 ㅋ ,1
198,솔직히..재미가 너무 없었음...긍정적인분만 웃을듯..난 냉정히 진짜 노잼이였음ㅜㅜ ,1
199,솔직히 한번도 못웃었어요 ㅠ ,1
200,웃음코드 안맞으면 진짜 아니에요... ,1
201,나만 유치한가 아님 관객들의 수준이 낮은건가 삼류 코미디 영화 ,4
202,"진선규, 신하균, 오정세 최고였다. 공명 앞으로 기대됨 ",8
203,억지웃음 재미없었고 웃긴지도 모르겠다 ,1
204,재밌는지 모르겠어요.. 왠만한 영화 다 재밌어하는데.. 너무기대했나ㅠㅠㅠ근데 기대안해도 재미없었을거같은.. ,6
205,진짜 재밌어요 배우님들 케미 최고구요 그 막내형사역할 누군가요  마지막에 마약 잘못먹고 마약에 취한 연기 너무 귀엽구 잘했어요!!! ,10
206,"미쳤다... 이딴 영화가 1000만 관객에, 평점은, 기생충, 라라랜드, 조커보다 높다니...외국인이보면....  깜짝 놀랄 영화... 대한민국 관객 수준이?...보면서 나도 깜짝 놀랐다.... ",1
207,줄거리 보고 기대했는데 기대만큼 재밌네요 특별한 내용이 있거나하진않지만 오랜만에 재밌는 영화본거같아서 돈이 아깝지 않네요 ,10
208,영화 공장에서 찍어낸 양산형 한국 코미디 영화웃음 포인트를 알겠어서 더 짜증나는 영화 ,1
209,다들 연기를 잘해서 연기 구멍이 없고 재밌었다 내용은 좀 뻔하게 끝나지만 그래도 나중에 다 때려잡는거 속은 시원했다 군데군데 대사들이 겁나 웃겼음 ,10
210,그냥 엄청 웃김 영화관에서 다 같이 웃기 좋은영화 ,10
211,정말 재미있어요..후기 평점 잘 안남기는데!! 요즘같이 팍팍한 세상살이극한직업같은 코미디영화가 많이 나왔으면 좋겠네요~! ,10
212,이게 천만...? 장난하나 이러니 영화가 발전이 없는거다 ,1
213,믿고 거르는 한국영화  댓글알바  치가 떨린다 ,1
214,"억지웃음유도, 킬링타임 느낌 없잖아 큼. 평점이 왜이리 높은지 이해불가 ",1
215,"피하지 못했다. 나를 제외한 1천2백만이 동원된 몰래카메라에 내가 당하고 말았다. 철 지난 개콘, 아니 유머1번지를 보는 듯했다. 류승룡, 이동휘, 김종수 연기는 그나마 덜 작위적이었다. ",1
216,이것도 영화?  쓰레기!  독점 몰아서 한 반칙 ,2
