,Review,Rank
0,이 영화를 다 본 제가 10점을 받아야겠습니다 ,10
1,이미 출연진이 다 말했잖아요~~~ ,10
2,이걸 본 내가 레전드. + 각본 유출된거 사실이었네요 ,10
3,이런류의 영화들중에 최악 중에 최악의 영화였습니다.. ,1
4,엄마랑 재미있게 봤어요 추천! ,10
5,웃음과 메세지 둘다 잡은 영화 ,10
6,중반이후 부터 재미 있었습니나. 초반은 지루해서나올 뻔 했는데 나왔으면 크게 후회 할 뻔 했네요 ,10
7,영화관에서 소리나게 웃은거 너무 오랜만인거같아요 ㅋㅋㅋㅋ재밌게 잘봣습니당 ?? ,10
8,재밌네요 정말 재밌게봤습니다 ,10
9,너무 재밌어요~! 다시한번볼거예용 ,10
10,엄마 모시고 갔는데 엄청 좋아하시더라고요. 영화가 친절해서 재밌게 볼 수 있었고 버디물 치곤 피가 많이 튀는 잔인한 장면이 없어 다양한 연령대가 즐기기 좋은 거 같습니다. 가정의 달을 맞아 부모님과 함께 보기 매우 ...,10
11,또 보고싶네요 잘 봤습니다 ,10
12,재미있게  잘 봤어요~♡ ,9
13,"아침 일찍 일어나 관람하고 온 보람이 있습니다. 배우들 연기도 모두 훌륭하고, 스토리도 지금 현실을 잘 반영하고 있습니다. 시간되면 또 보려구요 ",10
14,정말 재밋게 봤습니다 배우들의 통쾌한 액션이 사이다 마시는 기분이였습니다 ,10
15,재밌어요~~ 사이다~ 안본사람들이 평점이 왜저런지;; 보고 얘기합시다~~ ,10
16,진짜 겁나 웃음 수영이 욕을 진짜 찰지게 잘하는데 그동안 여돌이라고 얼마나 참았을지 생각하면 통탄스러워서 무릎을 탁 침 언니 제발 연기 계속해주세요 수영 말고도 배우들 케미 오졌음 ,10
17,방금 봤는데 또 보고 싶어지는 영화 너무 재밌어요 ,10
18,졸잼ㅋㅋㅋ라미란 이성경 최수영 염혜란 최고ㅠㅠㅜ 민원실 사람들 케미 엄청 좋은데 또 뒤로갈수록 각자 사정도 나름 나오고ㅋㅋㅋ그것조차 웃김 윤상현은 나중에 얼굴만 봐도 웃기고 심지어 범죄자들도 웃겨서 약간 빈정상할 정...,10
19,깨알개그도 많아서 좋았고 내용도 전달잘되는 영화 재밌게 봤습니다 ,10
20,시누이와 올케가 더불어 사는 정의구현을 위해 경찰조직 희노애락...좋네요. ,10
21,"영화가 밝고 희망차서 좋았습니다. 단순명료하면서 유쾌한 스토리라인을 보면서 잠시나마 지지부진하고 헛다리 짚는 여성범죄 수사나 버닝썬, 화장실 몰카 같은 현실을 잊고 통쾌한 기분에 빠질  수 있었어요. 언젠가 이 영화...",10
22,진짜 재미있는데 별점테러가 왜 이러는지 모르겠네요ㅋ ,10
23,영화진짜 재미있어용!  이성경 연기력 대박이였어요감정전달이 아주잘되고 영화 잘봤습니당! ,10
24,더 강하게 죄인들 조졌어야.... ,10
25, 방금 보고왔는데 또 보고싶어서 상영시간표 찾아봤습니다. 많은 분들이 보셨으면 좋겠어서 평점도 처음 남겨봅니다. OST까지 완벽해요. 반복듣기하고있습니다. ,10
26,아침부터 진짜 재밌게 봤어요! ,10
27,신선한 재미!! 색다른 느낌으로 존잼 ,10
28,재밌게 잘 봤습니다.! ,10
29,진심이 담긴 내용에 감동! ,10
30,청년경찰빰치게 잼있어요웃고즐기고 스트레스푸는영화로 볼만함 ,10
31,이 영화를보고 혈액순환이 좋아졌습니다 ,10
32,존잼쓰 오늘봤는데 또보고싶음 ,10
33,라미란님 믿고 보러갔는데 기대이상이었음! 웃긴 부분도 많고 너무 현실이라 빡치기도 했고. 볼까말까 한다면 보세요 추천드림 ,10
34,이영화가주는 메세지가 천만관객에게 제대로 전달되었으면합니다.어색하고 뚝뚝 끊기는장면도 없지않지만 재미있게 볼만한 영화네요~ 출연배우들 연기좋고~까메오..대박! ,9
35,화끈한 캐릭터들의 핵사이다 향연! ,10
36,정신줄 놓고 너무 웃었네요 ㅋㅋ잼있습니다 ㅋㅋ ,10
37,한국 B급영화 오랜만에 보는데 좋았습니다. 루즈해지는 부분 거의 없었음. 마냥 가볍다고만 말하기엔 소재가 소재다보니.. 깔끔하게 잘 풀어낸 것 같아요. ,10
38,여성 주연에 진짜 너무 좋았다 ㅠ 여성이 사건을 주로 해결하는것도 좋았고...정말 너무 재밌어서 다음에 또 볼거같음 ㅠㅠ 다들 보세요 진짜 이건 여러번보세요 올려줘야해 이건 ,10
39,존나재밋어욬ㅋ 또볼것임 ,10
40,웃으면서 봤어요 꿀잼이에요 ,10
41,간만에 영화 재밌게 봤어요! ,10
42,재밌는 영화. 내 기준 오션스에이트보다 재밌었음. ,10
43,기대하고 봤는데 기대 이상이었음 극한직업?보다 백만배 더 재미있다 믿고 봐라 ,10
44,역시 믿고 보는 여성 주연 영화 ,10
45,^^...정말재미없었어요... ㅎㅎㅎ ,1
46,진짜 노잼 진짜...웃기지도않고 오글거리고.. 최악 ,1
47,이 영화를 다 본 제가 10점을 받아야겠습니 ,5
48,이기뭐여  환상 의 콤비여  내용이 떨어짐 ,4
49,영화 왜케 유치해 욕은 또 더럽게 많이 나오네 ,2
50,솔직히 나는 지루하고 재미없었음. ,2
51,"본 영화에 대해 괜한 의혹 제기하고 별점 테러하는 사람들은 실상 영화 보지 않은 사람들이라 여겨지는데, 영화 무척 재미있고 유쾌합니다. 시의성도 있어 근래 같은 때에 보기 좋은 영화인듯합니다. 9점하려다 말도안되는 ...",10
52,이걸 10점 주는사람들은 도대체 내가 같은 영화를 봤던건지 이해할수가 없다. ,1
53,정말 오지는영화 잘봤어요^^ ,2
54,라미란 이성경 화이팅 ~~!! ,10
55,라미란 이성경 최수영 염혜란 ㄹㅇ 네명 연기가 다 해먹음 주조연할거없이 캐릭터가 찰떡이네요 ,10
56,시사회 티켓이 생겨서 보고왔는데 저는 논란이 있었는지도 몰랐네요ㅋㅋㅋ 요즘 시기랑도 적절하고 배우분들 연기도 좋아서 재밌게 보다왔습니다~ ,10
57,존잼이네ㅋㅋ 배우들 연기도 개잘함기대 안하고 봤는데 2차 뛸각임ㅋㅋ ,10
58,와~진짜 댓글 알바들에게 미안한데....진짜 너무한다....알바들에 속아서 시간도 돈도..다 버리고 진심 ㅠ ㅠ좀...짜증 ㅠ ㅠ ,1
59,여성 영화라길래 궁금해서 봤는데 연기도 잘 하고 재밌었어요! ,10
60,재밌어용 (*'▽'*) ,10
61,시사회로 보고 왔는데 존잼 ㅋㅋㅋㅋ 거의 극한직업 봤을 때처럼 웃다왔음 ,10
62,완전 재밌게 봤어요!! ,10
63,믿고본 배우들 조합이 크으~~~ 존잼~~ ,10
64,믿고보는 배우들 나와서 얼른 봐버렸습니다 ,10
65,믿고보는 라미란현실반응 오짐 ,10
66,지금 시점에 꼭 봐야할 영화 ,10
67,재밌을듯 기대돼요!!!! ,10
68,그저 빛 빛 빛의 영화ㅠ올 해의 영화는 바로 걸캅스ㅠㅠ핵띵작 여기 있네 ,10
69,넘 웃기지만 마냥 웃을 수 없는  이런 영화 많이 나왔으면 좋겠네요 걸캅스2 기대할께요 ,10
70,간만에 진짜 재밌는거 봤네요 라미란 배우님 말씀처럼 가벼운 맘으로 보러 갔다가 무거운 맘으로 나오게 됐습니다. 너무 좋은 영화같아요.. ,10
71,최고입니다 이런 영화만 만들어졌으면 좋겠어요 ,10
72,재밌게봤어요 ㅋㅋㅋ 입소문 나면 대박칠듯!! ,10
73,출연자만 봐도 재밌다^^^ ,10
74,오늘 퇴근하고 보러갈거예요~~~ 벌써부터 재밌디 ㅎㅎㅎㅎ ,10
75,시사회때 보고왔는데 진짜 개존잼... ,10
76,예고편만 봐도 존잼각이었어요 ,10
77,완전재밌아요 강추합니다!!!! ,10
78,스토리 최고 !!!! 강력추천 ,10
79,시사회로 봤는데 웃긴 장면도 많고 잼써여ㅋㅋ ,10
80,너무 재밌어요!!!! 주말에 친구랑 한번 더 볼 예정!! ,10
81,너무 좋아요 걸캅스 시리즈로 나왔으면 좋겠어요!!!! ,10
82,생각보다 너무 재밌어요!!가족끼리 보기에도 좋았어요~ ,10
83,벌써부터 존잼이다~~~~별점테러 하는 얘들은 돈없어서 보지도 않을꺼면서ㅠ역시 돈안드는짓 제일 잘하죵 ,10
84,사실 기대 별로 안하고봤는데 꽤 재밌습니다 ㅋ ㅋ ,10
85,진짜 너무 재밌었음 출연자 믿고 봤는데 역시 실망 시키지 않음ㅠㅠ ,10
86,역시 라미란!!! 재밌어요 ^_^ 액션도 멋집니다ㅋㅋ ,10
87,가볍게 보러가서 조금은 무거운 생각을 하게되는 그런 영화입니다. 스토리도 재밌고 지금 이 시점에 필요한 그런 영화라고 생각해요. 앞으로도 이런 영화가 많이 나왔으면 좋겠네요! ,10
88,이모~ 여기 사이다 추가요~~ ,10
89,개존잼 ㅇㅇ생각보다는 존잼 ,10
90,너무 재밌어요 배우들 연기 너무 잘함 ,10
91,개존잼쓰 역시 믿고보는 배우들 ,10
92,시사회로 봤는데 개존잼 ,10
93,한번 더 볼거에요!! 너무 재미있게 봤어요 ,10
94,Goood Goood Goood ,10
95,너무 재밌어요~~ 걸캅스 최고 ,10
96,존잼  ㅠㅠ 재밌게 봤어요 ,10
97,시사회때 봤는데 너무 재밌어서 재탕 예정ㅠㅠ ,10
98,벌써 존잼!! 흥행했으면 좋겠어요 ,10
99,진심 최고의 작품이네요 ㄷㄷ ,10
100,걸캅스 보러가는 약속만 6개임다^__^이거 안 보는 동년배들 아싸라고요 아시겠어요? ,10
101,내동년배들.다.걸캅스본다. ,10
102,정말 오랜만에 많이 웃은 영화예요 ㅋㅋㅋ ,10
103,기대 별로 안 했는데 완전 재밌었음 주말에 또 보러 가야지 ,10
104,별점 테러하는 사람들은 영화 안본사람일듯 ㅋㅋ 개꿀잼 ㅠㅠ 연기도 너무 잘하고 스토리도 탄탄해요 ,10
105,남성분들은 감성적이라 제목만 보고 평점을 다네요 떼잉 쯧ㅋ ,10
106,대존잼...간만에 재밌는 영화봤어요ㅠㅠ일년치 웃을거 다 웃었네 쵝오 ,10
107,나쁘지않았어요 킬링타임용으로 ㅎㅎ 남자친구랑 보러다녀왔고 둘다 재밌게봤음!!! ,10
108,재밌기만 한데 별점테러 하시는 분들은 다 남자네욥 ㅠ 쩝 돈 안드는 짓은 잘 하시네 ,10
109,왜 별점 테러가 있는지 모르겠는데...저는 너무 재밌었어요 강추 ,10
110,존잼 청년경찰보다 재밌네요 ,10
111,보지도 않았으면서 평점 테러하는 분들 때뭄에 마음이 아픕니다.... 재밌게 봤고요 ^^ 파이팅입니다~ ,10
112,그냥 겁내재밌음!!!ㅋㅋㅋ킬링타임용으로 최고!! ,10
113,인생 영화네요 ^^ 특히 믿고 보는 주인공 ,10
114,진짜 재미강추 강추 ~~~^^.!! ,10
115,역대급 존잼이에요 진짜 개웃기고 스토리구성 쩔음 ,10
116,기대한만큼재밌었움ㅎㅎㅎ ,10
117,재미있습니다!ㅋㅋㅋ 꼭 보세요 다들 ,10
118,무거운 영화 보는거 별로 안좋아해서 봤는데 재밌네요 ㅋㅋ 극한직업같은 영화 좋아하시거나 가족끼리 편하게 보실 영화 찾으시면 강추입니다. 혼자 봤는데도 재밌었어요~ ,10
119,시사회 갔다왔는데 웃음 소리가 끊이질 않았음 ㅋㅋㅋ 엄청 재밌네요 ,10
120,최고입니다 ~ 가족들과 재미있게 보았습니다~천만 가즈아~~ ,10
121,N차찍어야지 벌써 재밌어요~~!! ,10
122,"재미있어요! 배우들 연기도 너무나 인상깊고, 새로운 재미에요. ",10
123,진짜 너무웃기고  추천합니다~! ,10
124,근래 본 영화 중 최고.편안한 웃음을 주는 영화~ ,10
125,벌써재밌다!!!ㅋㅋㅋ 후속작 기대해봅니다 ,10
126,역시 가성비충.. 돈 안드는건 제일 열심히함 ,10
127,지금 보러 왔는데 완전 기대기대!! 10분뒤에 시작한다 ,10
128,재밌다 재밌어 푸항항항 ,10
129,별점 테러하시는 분들.. 영화는 보고 평은 남기시나요 ? 한심하게 삽니다 참..ㅎㅎ 기대하고 봤는데도 너뮤 재밌고 웃겨용 !! ,10
130,라미란 배우 좋아해서 예매했네요 기대됩니다 ,10
131,믿고 보는 라미란 배우님.너무 재미있었어요! ,10
132,"너무 재밌어요 진짜,,간만에 영화다운 영화 봤네요! 시간가는지 모르고 봤습니다 ",10
133,오늘퇴근하고 볼건데 벌써 재밌어요~~~~ ,10
134,이런 영화 계속해서 나와야한다고 생각합니다~ 벌써 흥행이다~~~~ 라미란 이성경 최고 ,10
135,진짜 재밌는데... 별점 테러 무엇? 배우분들 연기 대박 ,10
136,라미란님 이성경님 화이팅!! ,10
137,재밌었어요 이성경 라미란 조합 졸귀! ,10
138,진짜 재밌게 봤어요! 최고의 영화 ,10
139,넘 재밌고 흥행할거같아요!!! ,10
140,기대 안했는데 재밌네요 ㅋㅋ ,10
141,모든 사람 봐야 할 영화입니다 ,10
142,재밌었고 라미란배우연기 넘좋았어요!! ,10
143,재미있고 좋았어요 ㅠㅠ ,10
144,별 백점도 드리고 싶습니다 ,10
145,영화내용이 요즘 많이 일어나는 범죄에 대한 이야기라 한 번쯤 꼭 보셨음 해요! 연기도 다들 너무 잘하네요. ,10
146,솔직히 기대안하고봤는데 진짜 재밌음 ㅋㅋ 엄마랑 또보러갈거임ㅋㅋㅋ ,10
147,너무 재밌어요!! 안보면 후회할 영화 ,10
148,곧 보러갑니다 캬캬 여성영화 쭉 흥행하길! ,10
149,라미란 파이팅 존잼 ~!! ,10
150,시사회 기대안했는데 재밌었어요! ,10
151,재밌어요 여성영화화이팅 ,10
152,재밌어요 평점테러하는 꼬라지 너무 안타깝네요 ,10
153,이런영화가 더 많아졌으면 좋겠어용 ,10
154,믿고보는 출연자!!! 천만 갑시다! ,10
155,너무 재밌어요 담고 있는 주제도 좋구요 ,10
156,믿고보는 라미란배우님bb ,10
157,최고에요!! 꼭 보세요!! ,10
158,진짜 웃겨요ㅋㅋㅋㅋ생각보다 더 재밌는듯 ,10
159,"몇 안되는 여성주연 영화 나왔다고 별점테러라니,,ㅎㅎ 한가하신가재밌습니다!!! ",10
160,꿀잼~~~~두번보세용 ,10
161,여성이 주연인 영화 믿고 봤어요 ,10
162,남배우들만 나와서 싸우는 뻔한영화에 지친 나에게 내린 한줄기 빛 ,10
163,이런 영화가 많아졌으면 좋겠어요! 믿고 봅니다 ~~ ,10
164,존나 재밌다 이거 또 보러갈거임 ,10
165,이런 영화 많이 나와야해요 ,10
166,ㅋㅋㅋㅋ재밌고연기도잘하고ㅠㅠ믿고보는 라미란♡ ,10
167,너무 재밌어요!! 이런 영화가 더~~많이 나와야 합니다!!! ,10
168,엄청 많이 볼래요 걸캅스 화이팅별점테러하는 냄져들 돈안드는것만 오질라게해요 풉ㅋㅋ ,10
169,출연자들만봐도 믿고보는영화!! 재밌을것같아서 예매했어요!! ㅎㅎ ,10
170,죤내 웃김 ㅋㅋ극한직업 뺨치구용 ㅎㅋ ,10
171,어벤져스 3차로 보고 이제 뭐보지 하다가 걸캅스 오늘 개봉했길래 궁금해서 조조로 보고 왔네요 ^^ 엄청 재밌습니다 ! 사회에 경각심을 갖게 할 만한 영화에요!! 추천합니다!!!! 꼭 보시길!!!! ,10
172,진짜 개웃겼음ㅋㅋㅋㅋ아 자꾸 생각나네 또보고싶음 ,10
173,"스토리도 좋고, 연기도 좋아요 ",10
174,이 영화 안 본 사람 없게 해주세요 존잼 ,10
175,그냥 재밌다 페미고 나발이고 걍 재밌는데 어캄 ㅋㅋ ,10
176,믿고보는 라미란배우님! ,10
177,이런 영화 너무 좋아요 재밌게 잘봤습니다 ,10
178,개꿀잼ㅋㅋㅋㅋ n차 뛰러갑니다 ,10
