iter	Logloss
241	0.1360045207
242	0.1359518993
243	0.1359045541
244	0.1358431478
245	0.1357944097
246	0.1357422633
247	0.1356906685
248	0.1356343097
249	0.1355927711
250	0.135540173
251	0.1354955882
252	0.1354682948
253	0.1354209505
254	0.135365532
255	0.1353168621
256	0.1352521042
257	0.1351966735
258	0.1351537303
259	0.1351044546
260	0.1350573809
261	0.1350198164
262	0.1349732087
263	0.1349295511
264	0.134883561
265	0.1348351057
266	0.1347843054
267	0.1347194154
268	0.1346778259
269	0.1346247421
270	0.1345783962
271	0.1345424385
272	0.134505911
273	0.1344670628
274	0.1344304151
275	0.1343788412
276	0.1343688432
277	0.1343406357
278	0.1342974065
279	0.1342481754
280	0.1342203737
281	0.1341829657
282	0.1341358416
283	0.1341271532
284	0.1340847346
285	0.1340466951
286	0.133996954
287	0.1339591665
288	0.1339214817
289	0.1338817274
290	0.1338415245
291	0.1338329548
292	0.1337941866
293	0.1337468166
294	0.1336883754
295	0.1336461714
296	0.1336041059
297	0.1335541413
298	0.1335135909
299	0.1334724789
300	0.1334288225
301	0.1333876614
302	0.1333679302
303	0.1333452661
304	0.133311583
305	0.1332758277
306	0.1332343727
307	0.1331984978
308	0.1331663996
309	0.1331276221
310	0.133108982
311	0.1330800353
312	0.1330341052
313	0.1329946829
314	0.1329586686
315	0.1329259711
316	0.1328895133
317	0.1328567708
318	0.1328225185
319	0.1328143779
320	0.1328070424
321	0.13279113
322	0.1327557201
323	0.1327238571
324	0.1326861266
325	0.1326534793
326	0.1326201774
327	0.1325831135
328	0.1325422065
329	0.1325296011
330	0.1324980369
331	0.1324494272
332	0.1324171605
333	0.1323854499
334	0.1323534241
335	0.1323217028
336	0.1322872704
337	0.1322480504
338	0.1322149969
339	0.1321836936
340	0.1321486803
341	0.1321136275
342	0.1320828481
343	0.1320593177
344	0.1320369268
345	0.1320027092
346	0.1319699074
347	0.1319151321
348	0.1318865073
349	0.1318498
350	0.1318150802
351	0.1317855371
352	0.1317611627
353	0.1317337165
354	0.1317018286
355	0.1316615159
356	0.1316331172
357	0.1316017914
358	0.1315741666
359	0.1315335908
360	0.1315028566
361	0.1314679122
362	0.1314386449
363	0.1314124228
364	0.1313845155
365	0.1313609571
366	0.1313265958
367	0.1312975795
368	0.131269443
369	0.131240792
370	0.1312152149
371	0.1311839475
372	0.1311488947
373	0.1311188283
374	0.1310882396
375	0.1310466407
376	0.1310236827
377	0.1309943443
378	0.1309875956
379	0.1309625415
380	0.1309385467
381	0.1309133114
382	0.130878532
383	0.1308628693
384	0.1308365781
385	0.1308090486
386	0.1308022526
387	0.1307778891
388	0.130765448
389	0.1307379906
390	0.1307118542
391	0.130686872
392	0.1306606382
393	0.1306274667
394	0.1306053178
395	0.1305814042
396	0.1305578003
397	0.130530152
398	0.1305073474
399	0.1304765566
400	0.1304470021
401	0.1304227206
402	0.1304004881
403	0.1303724964
404	0.1303483437
405	0.1303205513
406	0.1303074108
407	0.1302799553
408	0.1302687997
409	0.1302545764
410	0.1302164889
411	0.130210752
412	0.1301812588
413	0.130167975
414	0.1301454698
415	0.130122642
416	0.1301013109
417	0.1300756992
418	0.1300523101
419	0.1300322441
420	0.1300133996
421	0.1299965691
422	0.1299714928
423	0.1299447972
424	0.1299231569
425	0.1299098745
426	0.1298878213
427	0.1298657883
428	0.12984127
429	0.1298200222
430	0.1297950284
431	0.1297733082
432	0.1297470035
433	0.1297257439
434	0.1296947986
435	0.1296751262
436	0.129655558
437	0.1296414304
438	0.1296115789
439	0.1295915597
440	0.1295731825
441	0.1295496167
442	0.1295241449
443	0.1295028987
444	0.1294821035
445	0.1294598597
446	0.1294387788
447	0.1294224372
448	0.1294015864
449	0.1293820182
450	0.1293711161
451	0.129353524
452	0.1293352762
453	0.1293100213
454	0.1292894437
455	0.1292668761
456	0.1292421793
457	0.1292184574
458	0.129190058
459	0.1291778938
460	0.1291588733
461	0.1291353911
462	0.129107433
463	0.129087221
464	0.1290641683
465	0.1290411104
466	0.1290224494
467	0.1290015476
468	0.1289808487
469	0.1289678873
470	0.1289447611
471	0.1289169096
472	0.1288989513
473	0.1288764065
474	0.1288649692
475	0.1288466973
476	0.1288274298
477	0.1288132779
478	0.1288038756
479	0.1287854132
480	0.1287656329
481	0.1287484565
482	0.1287299624
483	0.1287119645
484	0.1286932551
485	0.1286727111
486	0.1286542147
487	0.1286395981
488	0.1286232197
489	0.128605235
490	0.1285882882
491	0.128582159
492	0.128565459
493	0.1285450357
494	0.1285223861
495	0.1285169112
496	0.1285007947
497	0.1284816682
498	0.1284651824
499	0.1284457327
500	0.1284290449
501	0.1284038391
502	0.1283864247
503	0.1283621085
504	0.128346444
505	0.1283275548
506	0.1283129506
507	0.1282996798
508	0.1282816465
509	0.1282629976
510	0.1282467742
511	0.128241442
512	0.1282161019
513	0.1282022595
514	0.1281856679
515	0.1281780025
516	0.1281630046
517	0.1281453172
518	0.1281190759
519	0.1281047448
520	0.1280865932
521	0.1280704171
522	0.1280526232
523	0.1280360784
524	0.128018272
525	0.1280018015
526	0.1279866131
527	0.1279702348
528	0.127954763
529	0.1279390972
530	0.1279225064
531	0.1279126994
532	0.1279012258
533	0.1278870131
534	0.1278675078
535	0.1278535808
536	0.1278369176
537	0.1278206354
538	0.127806423
539	0.1277897825
540	0.127770013
541	0.1277559085
542	0.1277399263
543	0.1277257146
544	0.1277158595
545	0.1277001836
546	0.1276952082
547	0.1276865673
548	0.1276714863
549	0.1276535045
550	0.1276406257
551	0.1276262236
552	0.1276111661
553	0.1275976684
554	0.1275794464
555	0.1275670672
556	0.1275510813
557	0.1275382892
558	0.1275237081
559	0.1275022958
560	0.1274840736
561	0.1274699093
562	0.1274653983
563	0.1274494021
564	0.1274366063
565	0.1274202753
566	0.1274092418
567	0.1273971604
568	0.1273869011
569	0.1273725731
570	0.1273593845
571	0.1273472315
572	0.1273384716
573	0.1273257951
574	0.1273124402
575	0.1273013586
576	0.1272860649
577	0.1272704131
578	0.1272627485
579	0.1272483964
580	0.1272357654
581	0.1272239458
582	0.1272072265
583	0.1271875128
584	0.1271751973
585	0.1271624494
586	0.1271493206
587	0.1271366917
588	0.1271231818
589	0.1271119341
590	0.1271013767
591	0.127089736
592	0.1270727397
593	0.1270574457
594	0.1270531014
595	0.1270414495
596	0.1270283562
597	0.127015977
598	0.1270017566
599	0.1269886756
